county	time	grade	pct_dtap_medical_exempt	pct_dtap_nonmedical_exempt	pct_hepb_medical_exempt	pct_hepb_nonmedical_exempt	pct_hib_medical_exempt	pct_hib_nonmedical_exempt	pct_mmr_medical_exempt	pct_mmr_nonmedical_exempt	pct_pcv_medical_exempt	pct_pcv_nonmedical_exempt	pct_polio_medical_exempt	pct_polio_nonmedical_exempt	pct_varicella_medical_exempt	pct_varicella_nonmedical_exempt	pct_tdap_medical_exempt	pct_tdap_nonmedical_exempt	geography	state	geography_name	N_dtap	N_polio	N_mmr	N_hep_b	N_varicella	N_personal_exempt	N_medical_exempt	N_full_exempt	pct_dtap	pct_polio	pct_mmr	pct_hep_b	pct_varicella	pct_personal_exempt	pct_medical_exempt	pct_full_exempt
Custer	2020-09-01	Kindergarten	NA	3.7	NA	NA	NA	NA	NA	3.7	NA	NA	NA	3.7	NA	3.7	NA	NA	08027	CO	Custer	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Custer	2020-09-01	School	NA	5.38	NA	5.11	NA	NA	NA	5.65	NA	NA	NA	5.65	NA	5.38	NA	7.25	08027	CO	Custer	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Custer	2021-09-01	Child Care/Preschool	NA	7.14	NA	7.14	NA	7.14	NA	7.14	NA	7.14	NA	7.14	NA	7.14	NA	NA	08027	CO	Custer	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Custer	2021-09-01	Kindergarten	NA	5.88	NA	5.88	NA	NA	NA	5.88	NA	NA	NA	5.88	NA	5.88	NA	NA	08027	CO	Custer	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Custer	2021-09-01	School	NA	1.21	NA	1.21	NA	NA	NA	1.21	NA	NA	NA	1.21	NA	1.21	NA	1.6	08027	CO	Custer	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Custer	2022-09-01	Kindergarten	NA	4.55	NA	4.55	NA	NA	NA	4.55	NA	NA	NA	4.55	NA	4.55	NA	NA	08027	CO	Custer	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Custer	2022-09-01	School	NA	1.23	NA	1.23	NA	NA	NA	1.23	NA	NA	NA	1.23	NA	1.23	NA	0.54	08027	CO	Custer	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Custer	2023-09-01	Child Care/Preschool	NA	3.45	NA	3.45	NA	3.45	NA	3.45	NA	3.45	NA	3.45	NA	3.45	NA	NA	08027	CO	Custer	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Custer	2023-09-01	Kindergarten	NA	26.09	NA	21.74	NA	NA	NA	26.09	NA	NA	NA	26.09	NA	26.09	NA	NA	08027	CO	Custer	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Custer	2023-09-01	School	0.32	8.86	0.32	9.49	NA	NA	0.32	8.86	NA	NA	0.32	9.18	0.32	9.81	0.54	10.27	08027	CO	Custer	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Custer	2024-09-01	Child Care/Preschool	NA	3.85	NA	3.85	NA	3.85	NA	3.85	NA	3.85	NA	3.85	NA	3.85	NA	NA	08027	CO	Custer	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Custer	2024-09-01	Kindergarten	NA	1.96	NA	1.96	NA	NA	NA	1.96	NA	NA	NA	1.96	NA	1.96	NA	NA	08027	CO	Custer	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Custer	2024-09-01	School	NA	4.33	NA	4.33	NA	NA	NA	4.33	NA	NA	NA	4.33	NA	4.33	NA	3.96	08027	CO	Custer	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Custer	2025-09-01	Child Care/Preschool	NA	16.22	NA	16.22	NA	16.22	NA	16.22	NA	16.22	NA	16.22	NA	16.22	NA	NA	08027	CO	Custer	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Custer	2025-09-01	Kindergarten	NA	10.53	NA	10.53	NA	NA	NA	10.53	NA	NA	NA	10.53	NA	10.53	NA	NA	08027	CO	Custer	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Delta	2018-09-01	Child Care/Preschool	NA	3.94	NA	4.56	NA	4.15	NA	3.53	NA	3.53	NA	3.53	NA	4.56	NA	NA	08029	CO	Delta	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Delta	2018-09-01	Kindergarten	NA	11.76	NA	10	NA	NA	NA	11.47	NA	NA	NA	12.06	NA	11.47	NA	NA	08029	CO	Delta	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Delta	2018-09-01	School	0.06	6.03	0.06	7.13	NA	NA	0.11	7.55	NA	NA	0.06	7.79	0.13	9.56	0.04	8.2	08029	CO	Delta	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Delta	2019-09-01	Child Care/Preschool	0.85	10.21	0.85	10.21	0.85	10.64	0.85	10.21	0.85	10	0.85	10	0.85	10.21	NA	NA	08029	CO	Delta	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Delta	2019-09-01	Kindergarten	NA	10.66	NA	10.37	NA	NA	NA	10.66	NA	NA	NA	10.66	NA	10.95	NA	NA	08029	CO	Delta	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Delta	2019-09-01	School	0.06	7.89	0.06	9.08	NA	NA	0.15	8.89	NA	NA	0.06	9.08	0.15	9.66	0.12	11.16	08029	CO	Delta	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Delta	2020-09-01	Child Care/Preschool	NA	10.11	NA	10.32	NA	9.68	NA	9.89	NA	9.25	NA	9.46	NA	10.54	NA	NA	08029	CO	Delta	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Delta	2020-09-01	Kindergarten	0.57	16.24	0.57	15.1	NA	NA	0.57	17.38	NA	NA	0.57	16.81	0.57	18.23	NA	NA	08029	CO	Delta	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Delta	2020-09-01	School	0.13	9.11	0.13	10.15	NA	NA	0.17	10.19	NA	NA	0.13	10.4	0.19	10.87	0.12	12.62	08029	CO	Delta	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Delta	2021-09-01	Child Care/Preschool	NA	6.95	NA	6.65	NA	6.34	NA	6.34	NA	5.74	NA	5.74	NA	7.25	NA	NA	08029	CO	Delta	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Delta	2021-09-01	Kindergarten	NA	14.39	NA	13.67	NA	NA	NA	14.39	NA	NA	NA	14.03	NA	15.47	NA	NA	08029	CO	Delta	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Delta	2021-09-01	School	0.14	8.13	0.14	8.86	NA	NA	0.19	8.8	NA	NA	0.14	9.07	0.21	9.38	0.11	8.75	08029	CO	Delta	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Delta	2022-09-01	Child Care/Preschool	NA	7.18	NA	6.7	NA	5.98	NA	5.98	NA	5.98	NA	6.7	NA	6.22	NA	NA	08029	CO	Delta	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Delta	2022-09-01	Kindergarten	NA	16.71	NA	16.71	NA	NA	NA	16.71	NA	NA	NA	16.71	NA	16.94	NA	NA	08029	CO	Delta	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Delta	2022-09-01	School	0.27	10.21	0.27	10.74	NA	NA	0.3	10.65	NA	NA	0.27	10.69	0.3	11.15	0.25	12.49	08029	CO	Delta	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Delta	2023-09-01	Child Care/Preschool	0.99	6.91	0.74	7.16	0.74	6.91	0.99	6.42	0.74	6.17	0.74	6.67	0.74	6.42	NA	NA	08029	CO	Delta	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Delta	2023-09-01	Kindergarten	0.23	21.36	0.23	19.95	NA	NA	0.23	21.36	NA	NA	0.23	21.36	0.23	22.3	NA	NA	08029	CO	Delta	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Delta	2023-09-01	School	0.3	12.79	0.27	13.24	NA	NA	0.34	13.15	NA	NA	0.27	13.24	0.3	14.3	0.16	14.52	08029	CO	Delta	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Delta	2024-09-01	Child Care/Preschool	0.49	8.5	0.49	8.25	0.49	8.25	0.73	7.28	0.49	7.04	0.49	7.28	0.49	7.52	NA	NA	08029	CO	Delta	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Delta	2024-09-01	Kindergarten	0.79	17.68	0.26	14.51	NA	NA	0.79	17.94	NA	NA	0.26	18.21	0.26	19.53	NA	NA	08029	CO	Delta	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Delta	2024-09-01	School	0.32	12.17	0.3	12.6	NA	NA	0.35	13.34	NA	NA	0.3	13.67	0.35	14.91	0.21	15	08029	CO	Delta	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Delta	2025-09-01	Child Care/Preschool	NA	12.79	NA	11.25	NA	9.97	0.26	9.21	NA	8.44	NA	10.74	NA	10.49	NA	NA	08029	CO	Delta	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Delta	2025-09-01	Kindergarten	0.71	18.57	0.71	13.21	NA	NA	1.07	17.86	NA	NA	0.71	18.21	1.07	18.21	NA	NA	08029	CO	Delta	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Delta	2025-09-01	School	0.26	10.78	0.24	11.05	NA	NA	0.34	12.13	NA	NA	0.24	12.7	0.31	13.54	0.21	14.06	08029	CO	Delta	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Denver	2018-09-01	Child Care/Preschool	0.11	1.39	0.09	2.15	0.1	1.34	0.12	1.46	0.11	1.4	0.09	1.5	0.12	1.67	NA	NA	08031	CO	Denver	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Denver	2018-09-01	Kindergarten	0.11	1.34	0.08	1.65	NA	NA	0.13	1.48	NA	NA	0.1	1.58	0.17	1.67	NA	NA	08031	CO	Denver	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Denver	2018-09-01	School	0.05	0.9	0.11	1.05	NA	NA	0.07	0.96	NA	NA	0.15	0.95	0.28	1.33	0.11	0.85	08031	CO	Denver	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Denver	2019-09-01	Child Care/Preschool	0.06	1.39	0.06	1.85	0.06	1.35	0.08	1.38	0.05	1.36	0.06	1.44	0.07	1.55	NA	NA	08031	CO	Denver	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Denver	2019-09-01	Kindergarten	0.07	0.9	0.05	1.15	NA	NA	0.07	1.02	NA	NA	0.05	1.12	0.04	1.19	NA	NA	08031	CO	Denver	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Denver	2019-09-01	School	0.03	0.41	0.05	0.58	NA	NA	0.06	0.46	NA	NA	0.04	0.49	0.2	0.53	0.02	0.33	08031	CO	Denver	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Denver	2020-09-01	Child Care/Preschool	0.06	1.42	0.05	1.82	0.06	1.17	0.06	1.36	0.05	1.16	0.05	1.48	0.06	1.54	NA	NA	08031	CO	Denver	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Denver	2020-09-01	Kindergarten	0.06	1.13	0.05	1.71	NA	NA	0.09	1.52	NA	NA	0.07	1.53	0.11	1.68	NA	NA	08031	CO	Denver	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Denver	2020-09-01	School	0.03	0.51	0.06	0.77	NA	NA	0.07	0.65	NA	NA	0.05	0.68	0.16	0.73	0.04	0.38	08031	CO	Denver	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Denver	2021-09-01	Child Care/Preschool	0.05	1.31	0.05	1.68	0.05	0.99	0.06	1.28	0.05	1	0.05	1.39	0.06	1.45	NA	NA	08031	CO	Denver	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Denver	2021-09-01	Kindergarten	0.04	1.27	0.03	1.41	NA	NA	0.07	1.41	NA	NA	0.03	1.37	0.11	1.46	NA	NA	08031	CO	Denver	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Denver	2021-09-01	School	0.05	0.63	0.06	0.72	NA	NA	0.07	0.64	NA	NA	0.04	0.65	0.15	0.71	0.05	0.44	08031	CO	Denver	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Denver	2022-09-01	Child Care/Preschool	0.09	0.94	0.02	1.13	0.02	0.87	0.17	0.85	0.02	0.89	0.09	0.98	0.17	0.91	NA	NA	08031	CO	Denver	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Denver	2022-09-01	Kindergarten	0.04	0.86	0.04	0.7	NA	NA	0.04	0.77	NA	NA	0.04	0.79	0.04	0.71	NA	NA	08031	CO	Denver	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Denver	2022-09-01	School	0.03	0.34	0.04	0.32	NA	NA	0.03	0.29	NA	NA	0.03	0.33	0.06	0.29	0.02	0.18	08031	CO	Denver	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Denver	2023-09-01	Child Care/Preschool	0.01	0.79	0.02	0.92	0.01	0.75	0.02	0.82	0.01	0.74	0.01	0.82	0.03	0.82	NA	NA	08031	CO	Denver	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Denver	2023-09-01	Kindergarten	0.54	0.41	0.53	0.54	NA	NA	0.55	0.46	NA	NA	0.54	0.49	0.62	0.49	NA	NA	08031	CO	Denver	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Denver	2023-09-01	School	0.06	0.18	0.09	0.25	NA	NA	0.08	0.2	NA	NA	0.06	0.22	0.35	0.21	0.04	0.23	08031	CO	Denver	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Denver	2024-09-01	Child Care/Preschool	1.27	1.39	1.2	1.54	1.24	1.34	1.41	1.38	1.19	1.32	1.29	1.34	1.44	1.44	NA	NA	08031	CO	Denver	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Denver	2024-09-01	Kindergarten	0.04	1.34	0.03	1.15	NA	NA	0.07	1.39	NA	NA	0.03	1.33	0.12	1.44	NA	NA	08031	CO	Denver	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Denver	2024-09-01	School	0.06	0.63	0.07	0.66	NA	NA	0.07	0.65	NA	NA	0.05	0.67	0.26	0.69	0.04	0.52	08031	CO	Denver	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Denver	2025-09-01	Child Care/Preschool	0.08	1.42	0.08	1.53	0.08	1.29	0.09	1.43	0.07	1.35	0.08	1.41	0.09	1.48	NA	NA	08031	CO	Denver	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Denver	2025-09-01	Kindergarten	0.06	1.22	0.08	1.1	NA	NA	0.06	1.2	NA	NA	0.04	1.29	0.07	1.27	NA	NA	08031	CO	Denver	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Denver	2025-09-01	School	0.06	0.66	0.08	0.63	NA	NA	0.07	0.66	NA	NA	0.05	0.68	0.23	0.7	0.03	0.48	08031	CO	Denver	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Dolores	2018-09-01	Child Care/Preschool	NA	6.82	NA	6.82	NA	4.55	NA	6.82	NA	4.55	NA	6.82	NA	6.82	NA	NA	08033	CO	Dolores	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Dolores	2018-09-01	Kindergarten	NA	15	NA	10	NA	NA	NA	15	NA	NA	NA	15	NA	15	NA	NA	08033	CO	Dolores	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Dolores	2018-09-01	School	NA	1.82	NA	0.91	NA	NA	NA	1.82	NA	NA	NA	1.82	NA	2.5	NA	1.16	08033	CO	Dolores	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Dolores	2019-09-01	Child Care/Preschool	NA	10.53	NA	7.89	NA	7.89	NA	7.89	NA	10.53	NA	7.89	NA	10.53	NA	NA	08033	CO	Dolores	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Dolores	2019-09-01	Kindergarten	NA	4.76	NA	NA	NA	NA	NA	4.76	NA	NA	NA	4.76	NA	4.76	NA	NA	08033	CO	Dolores	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Dolores	2019-09-01	School	NA	1.76	NA	0.88	NA	NA	NA	1.76	NA	NA	NA	1.76	NA	2.2	NA	1.69	08033	CO	Dolores	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Dolores	2020-09-01	Child Care/Preschool	NA	4.88	NA	4.88	NA	4.88	NA	4.88	NA	4.88	NA	4.88	NA	4.88	NA	NA	08033	CO	Dolores	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Dolores	2020-09-01	Kindergarten	NA	6.67	NA	NA	NA	NA	NA	6.67	NA	NA	NA	6.67	NA	6.67	NA	NA	08033	CO	Dolores	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Dolores	2020-09-01	School	NA	4.13	NA	2.29	NA	NA	NA	4.13	NA	NA	NA	4.13	NA	5.05	NA	1.61	08033	CO	Dolores	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Dolores	2021-09-01	Child Care/Preschool	NA	5.88	NA	5.88	NA	5.88	NA	5.88	NA	5.88	NA	5.88	NA	5.88	NA	NA	08033	CO	Dolores	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Dolores	2021-09-01	Kindergarten	NA	6.67	NA	6.67	NA	NA	NA	6.67	NA	NA	NA	6.67	NA	6.67	NA	NA	08033	CO	Dolores	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Dolores	2021-09-01	School	NA	2.71	NA	2.71	NA	NA	NA	2.71	NA	NA	NA	2.71	NA	2.71	NA	0.78	08033	CO	Dolores	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Dolores	2022-09-01	Child Care/Preschool	NA	2.86	NA	2.86	NA	2.86	NA	2.86	NA	2.86	NA	2.86	NA	2.86	NA	NA	08033	CO	Dolores	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Dolores	2022-09-01	School	NA	0.42	NA	0.42	NA	NA	NA	0.42	NA	NA	NA	0.42	NA	0.42	NA	0.73	08033	CO	Dolores	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Dolores	2023-09-01	Child Care/Preschool	NA	2.86	NA	2.86	NA	2.86	NA	2.86	NA	2.86	NA	2.86	NA	2.86	NA	NA	08033	CO	Dolores	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Dolores	2023-09-01	Kindergarten	NA	7.69	NA	7.69	NA	NA	NA	7.69	NA	NA	NA	7.69	NA	7.69	NA	NA	08033	CO	Dolores	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Dolores	2023-09-01	School	NA	0.41	NA	0.41	NA	NA	NA	0.41	NA	NA	NA	0.41	NA	0.41	NA	NA	08033	CO	Dolores	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Dolores	2024-09-01	Child Care/Preschool	NA	6.06	NA	6.06	NA	6.06	NA	6.06	NA	6.06	NA	6.06	NA	6.06	NA	NA	08033	CO	Dolores	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Dolores	2024-09-01	Kindergarten	NA	6.25	NA	6.25	NA	NA	NA	6.25	NA	NA	NA	6.25	NA	6.25	NA	NA	08033	CO	Dolores	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Dolores	2024-09-01	School	NA	1.28	NA	1.28	NA	NA	NA	1.28	NA	NA	NA	1.28	NA	1.28	NA	0.76	08033	CO	Dolores	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Dolores	2025-09-01	Child Care/Preschool	NA	14.71	NA	14.71	NA	14.71	NA	14.71	NA	14.71	NA	14.71	NA	14.71	NA	NA	08033	CO	Dolores	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Dolores	2025-09-01	School	NA	1.65	NA	1.65	NA	NA	NA	1.65	NA	NA	NA	1.65	NA	1.65	NA	2.99	08033	CO	Dolores	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Douglas	2018-09-01	Child Care/Preschool	0.1	2.25	0.16	2.85	0.13	1.95	0.1	2.4	0.11	2.12	0.14	2.41	0.13	2.54	NA	NA	08035	CO	Douglas	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Douglas	2018-09-01	Kindergarten	0.25	3.14	0.1	3.16	NA	NA	0.25	3.12	NA	NA	0.17	3.29	0.33	3.5	NA	NA	08035	CO	Douglas	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Douglas	2018-09-01	School	0.11	1.92	0.13	2.1	NA	NA	0.15	2.1	NA	NA	0.13	2.05	0.28	2.41	0.16	2.04	08035	CO	Douglas	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Douglas	2019-09-01	Child Care/Preschool	0.12	2.59	0.12	3.07	0.08	2.43	0.09	2.62	0.1	2.38	0.1	2.59	0.1	2.75	NA	NA	08035	CO	Douglas	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Douglas	2019-09-01	Kindergarten	0.12	3.6	0.1	4.58	NA	NA	0.1	4.94	NA	NA	0.14	4.96	0.16	5.1	NA	NA	08035	CO	Douglas	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Douglas	2019-09-01	School	0.06	2.5	0.1	3.21	NA	NA	0.11	3.2	NA	NA	0.09	3.31	0.16	3.67	0.12	3.22	08035	CO	Douglas	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Douglas	2020-09-01	Child Care/Preschool	0.12	2.37	0.12	2.85	0.11	2.25	0.12	2.44	0.11	2.29	0.12	2.47	0.13	2.65	NA	NA	08035	CO	Douglas	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Douglas	2020-09-01	Kindergarten	0.12	3.7	0.15	5.4	NA	NA	0.27	5.65	NA	NA	0.27	6	0.31	6.05	NA	NA	08035	CO	Douglas	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Douglas	2020-09-01	School	0.04	2.39	0.08	3.45	NA	NA	0.12	3.42	NA	NA	0.08	3.56	0.17	3.82	0.12	3.58	08035	CO	Douglas	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Douglas	2021-09-01	Child Care/Preschool	0.06	1.82	0.04	1.99	0.04	1.83	0.04	1.8	0.02	1.72	0.04	1.9	0.04	1.95	NA	NA	08035	CO	Douglas	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Douglas	2021-09-01	Kindergarten	0.11	4.42	0.11	4.25	NA	NA	0.15	4.46	NA	NA	0.13	4.66	0.13	4.89	NA	NA	08035	CO	Douglas	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Douglas	2021-09-01	School	0.09	3.29	0.08	3.39	NA	NA	0.12	3.35	NA	NA	0.09	3.51	0.16	3.72	0.12	3.51	08035	CO	Douglas	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Douglas	2022-09-01	Child Care/Preschool	0.13	2.24	0.13	2.7	0.13	2.19	0.14	2.35	0.13	2.22	0.13	2.4	0.14	2.49	NA	NA	08035	CO	Douglas	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Douglas	2022-09-01	Kindergarten	0.16	4.61	0.06	4.47	NA	NA	0.18	4.45	NA	NA	0.16	4.96	0.2	4.78	NA	NA	08035	CO	Douglas	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Douglas	2022-09-01	School	0.12	2.98	0.13	3.06	NA	NA	0.15	3.07	NA	NA	0.13	3.17	0.17	3.31	0.21	3.23	08035	CO	Douglas	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Douglas	2023-09-01	Child Care/Preschool	0.11	2.15	0.11	2.38	0.11	2.05	0.1	2.17	0.11	2.07	0.11	2.17	0.1	2.32	NA	NA	08035	CO	Douglas	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Douglas	2023-09-01	Kindergarten	0.21	4.4	0.17	4.1	NA	NA	0.23	4.38	NA	NA	0.21	4.66	0.23	4.72	NA	NA	08035	CO	Douglas	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
