county	time	grade	pct_dtap_medical_exempt	pct_dtap_nonmedical_exempt	pct_hepb_medical_exempt	pct_hepb_nonmedical_exempt	pct_hib_medical_exempt	pct_hib_nonmedical_exempt	pct_mmr_medical_exempt	pct_mmr_nonmedical_exempt	pct_pcv_medical_exempt	pct_pcv_nonmedical_exempt	pct_polio_medical_exempt	pct_polio_nonmedical_exempt	pct_varicella_medical_exempt	pct_varicella_nonmedical_exempt	pct_tdap_medical_exempt	pct_tdap_nonmedical_exempt	geography	state	geography_name	N_dtap	N_polio	N_mmr	N_hep_b	N_varicella	N_personal_exempt	N_medical_exempt	N_full_exempt	pct_dtap	pct_polio	pct_mmr	pct_hep_b	pct_varicella	pct_personal_exempt	pct_medical_exempt	pct_full_exempt
Adams	2023-09-01	School	0.06	1.86	0.05	1.69	NA	NA	0.09	1.84	NA	NA	0.06	1.87	0.13	1.99	0.08	2.49	08001	CO	Adams	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Adams	2024-09-01	Child Care/Preschool	0.06	1.42	0.06	1.34	0.06	1.35	0.07	1.29	0.06	1.32	0.06	1.26	0.07	1.39	NA	NA	08001	CO	Adams	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Adams	2024-09-01	Kindergarten	0.09	3.3	0.07	2.69	NA	NA	0.1	3.24	NA	NA	0.09	3.26	0.09	3.26	NA	NA	08001	CO	Adams	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Adams	2024-09-01	School	0.06	2.33	0.04	2.15	NA	NA	0.09	2.32	NA	NA	0.05	2.37	0.11	2.45	0.06	3.34	08001	CO	Adams	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Adams	2025-09-01	Child Care/Preschool	0.09	1.65	0.1	1.63	0.1	1.59	0.12	1.54	0.09	1.63	0.1	1.59	0.1	1.54	NA	NA	08001	CO	Adams	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Adams	2025-09-01	Kindergarten	0.1	3.49	0.03	2.82	NA	NA	0.14	3.59	NA	NA	0.1	3.54	0.14	3.71	NA	NA	08001	CO	Adams	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Adams	2025-09-01	School	0.06	1.91	0.04	1.74	NA	NA	0.09	1.89	NA	NA	0.06	1.94	0.15	2.01	0.07	2.28	08001	CO	Adams	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Alamosa	2018-09-01	Child Care/Preschool	0.22	0.44	0.22	0.44	0.22	0.44	0.22	0.44	0.22	0.44	0.22	0.44	0.44	0.44	NA	NA	08003	CO	Alamosa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Alamosa	2018-09-01	Kindergarten	NA	1.53	NA	1.53	NA	NA	NA	1.53	NA	NA	NA	1.53	NA	1.53	NA	NA	08003	CO	Alamosa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Alamosa	2018-09-01	School	NA	0.61	NA	0.61	NA	NA	NA	0.61	NA	NA	NA	0.61	NA	0.68	NA	0.07	08003	CO	Alamosa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
