time	geography	geography_name	grade	N_dtap	N_polio	N_mmr	N_hep_b	N_varicella	N_personal_exempt	N_medical_exempt	N_full_exempt	pct_dtap	pct_polio	pct_mmr	pct_hep_b	pct_varicella	pct_personal_exempt	pct_medical_exempt	pct_full_exempt	enrollment	unit	public_independent	pct_fully_immunized	pct_provisional
2018-09-01	50003	Bennington	All grades	NA	NA	NA	NA	NA	NA	NA	NA	95.00	95.00	95.00	95.00	95.00	0.03	<0.01	NA	5467.00	County	All	0.93	0.04
2018-09-01	50005	Caledonia	All grades	NA	NA	NA	NA	NA	NA	NA	NA	95.00	95.00	95.00	95.00	95.00	0.02	NA	NA	4629.00	County	All	95.00	NA
2018-09-01	50007	Chittenden	All grades	NA	NA	NA	NA	NA	NA	NA	NA	95.00	95.00	95.00	95.00	95.00	0.03	<0.01	NA	21666.00	County	All	0.95	0.02
2018-09-01	50009	Essex	All grades	NA	NA	NA	NA	NA	NA	NA	NA	95.00	95.00	95.00	95.00	95.00	0.03	NA	NA	492.00	County	All	95.00	NA
2018-09-01	50011	Franklin	All grades	NA	NA	NA	NA	NA	NA	NA	NA	95.00	95.00	95.00	95.00	95.00	0.02	NA	NA	7452.00	County	All	95.00	NA
2018-09-01	50013	Grand Isle	All grades	NA	NA	NA	NA	NA	NA	NA	NA	0.94	95.00	95.00	95.00	0.95	0.01	NA	NA	542.00	County	All	0.93	0.06
2018-09-01	50015	Lamoille	All grades	NA	NA	NA	NA	NA	NA	NA	NA	0.95	95.00	95.00	95.00	0.95	0.04	<0.01	NA	3701.00	County	All	0.92	0.04
2018-09-01	50017	Orange	All grades	NA	NA	NA	NA	NA	NA	NA	NA	95.00	95.00	95.00	95.00	95.00	0.02	NA	NA	3848.00	County	All	95.00	NA
2018-09-01	50019	Orleans	All grades	NA	NA	NA	NA	NA	NA	NA	NA	95.00	95.00	95.00	95.00	95.00	0.03	NA	NA	3700.00	County	All	0.94	0.03
2018-09-01	50021	Rutland	All grades	NA	NA	NA	NA	NA	NA	NA	NA	95.00	95.00	95.00	95.00	95.00	0.03	NA	NA	7404.00	County	All	95.00	NA
2018-09-01	50023	Washington	All grades	NA	NA	NA	NA	NA	NA	NA	NA	0.95	0.95	95.00	0.95	95.00	0.05	<0.01	NA	8095.00	County	All	0.92	0.02
2018-09-01	50025	Windham	All grades	NA	NA	NA	NA	NA	NA	NA	NA	0.94	0.95	95.00	0.95	0.95	0.04	<0.01	NA	6123.00	County	All	0.92	0.04
2018-09-01	50027	Windsor	All grades	NA	NA	NA	NA	NA	NA	NA	NA	95.00	95.00	95.00	95.00	95.00	0.03	NA	NA	6899.00	County	All	95.00	NA
2018-09-01	50001	Addison	Kindergarten only	NA	NA	NA	NA	NA	NA	NA	NA	0.92	0.91	0.92	0.94	0.91	0.06	NA	NA	326.00	County	All	0.89	0.05
