"OBJECTID","District","SDID","CESA","Type","District_Name","Percent_Immunized","Percent_Immunized_TXT","Shape.STArea()","Shape.STLength()"
261,"Owen-Withee","4207",10,"Unified","Owen-Withee Sch Dist",51.40664962,"51.4%",818163198.944683,205834.247150861
262,"Palmyra-Eagle Area","4221",2,"Unified","Palmyra-Eagle Area Sch Dist",88.75219684,"88.8%",388873574.182007,138110.892649808
263,"Pardeeville Area","4228",5,"Unified","Pardeeville Area Sch Dist",78.89273356,"78.9%",456162825.910608,170570.809669907
264,"Paris J1","4235",2,"Elementary","Paris J1 Sch Dist",89.96138996,"90%",176744447.317528,58362.7873783418
265,"Parkview","4151",2,"Unified","Parkview Sch Dist",94.13875598,"94.1%",596383589.882132,192099.423147498
266,"Pecatonica Area","0490",3,"Unified","Pecatonica Area Sch Dist",92.11195929,"92.1%",551609630.328032,201917.19410964
267,"Pepin Area","4270",11,"Unified","Pepin Area Sch Dist",92.94605809,"92.9%",413225797.023232,117027.990337992
268,"Peshtigo","4305",8,"Unified","Peshtigo Sch Dist",87.92007266,"87.9%",457710082.315785,136665.006528606
269,"Pewaukee","4312",1,"Unified","Pewaukee Sch Dist",93.6529372,"93.7%",76860217.8456233,49914.6928182267
270,"Phillips","4347",12,"Unified","Phillips Sch Dist",90.14925373,"90.1%",3111814255.09046,308565.293607396
271,"Pittsville","4368",5,"Unified","Pittsville Sch Dist",89.29219601,"89.3%",1863772690.79032,250064.05699293
272,"Platteville","4389",3,"Unified","Platteville Sch Dist",88.9931207,"89%",704341391.873152,228439.768754321
273,"Plum City","4459",11,"Unified","Plum City Sch Dist",94.56066946,"94.6%",423775249.357256,162334.953936951
274,"Plymouth Joint","4473",7,"Unified","Plymouth Joint Sch Dist",88.68821293,"88.7%",623503293.943148,248176.629334184
275,"Port Edwards","4508",5,"Unified","Port Edwards Sch Dist",90.88785047,"90.9%",308971870.567073,104743.362395928
276,"Portage Community","4501",5,"Unified","Portage Community Sch Dist",90.22201228,"90.2%",1041796073.82176,253389.615331594
277,"Potosi","4529",3,"Unified","Potosi Sch Dist",89.27444795,"89.3%",311883950.897347,228302.358926141
278,"Poynette","4536",5,"Unified","Poynette Sch Dist",83.59840954,"83.6%",489352482.789868,148810.36085493
279,"Prairie Du Chien Area","4543",3,"Unified","Prairie du Chien Area Sch Dist",86.5404837,"86.5%",442359214.711266,176180.922892832
280,"Prairie Farm Public","4557",11,"Unified","Prairie Farm Public Sch Dist",98.93048128,"98.9%",463098578.323963,209340.68755575
281,"Prescott","4578",11,"Unified","Prescott Sch Dist",96.16919393,"96.2%",374770358.772274,119334.3301154
282,"Princeton","4606",5,"Unified","Princeton Sch Dist",91.15853659,"91.2%",451807893.066714,161222.561415987
283,"Racine Unified","4620",1,"Unified","Racine Unified Sch Dist",85.33114395,"85.3%",485378273.372829,89452.3990133973
284,"Randall J1","4627",2,"Elementary","Randall J1 Sch Dist",93.57945425,"93.6%",83061815.0454008,73971.5321708666
285,"Randolph","4634",5,"Unified","Randolph Sch Dist",94.32485323,"94.3%",296627825.173829,188384.468646887
286,"Random Lake","4641",7,"Unified","Random Lake Sch Dist",91.83381089,"91.8%",451270479.266407,157324.74652467
287,"Raymond #14","4686",2,"Elementary","Raymond #14 Sch Dist",97.19626168,"97.2%",149049522.233513,55954.6847577832
