"OBJECTID","District","SDID","CESA","Type","District_Name","Percent_Immunized","Percent_Immunized_TXT","Shape.STArea()","Shape.STLength()"
1,"Adams-Friendship Area","0014",5,"Unified","Adams-Friendship Area Sch Dist",81.31868132,"81.3%",2436405189.32577,260601.189997232
2,"Albany","0063",2,"Unified","Albany Sch Dist",93.21428571,"93.2%",323055614.230849,164666.342087099
3,"Algoma","0070",7,"Unified","Algoma Sch Dist",88.26219512,"88.3%",349444067.145761,91072.9443452746
4,"Alma","0084",4,"Unified","Alma Sch Dist",96.44444444,"96.4%",693590059.582348,369064.83614617
5,"Alma Center","0091",4,"Unified","Alma Center Sch Dist",90.4109589,"90.4%",679407483.599786,163807.563822689
6,"Almond-Bancroft","0105",5,"Unified","Almond-Bancroft Sch Dist",90.55555556,"90.6%",548529374.033953,198340.207031454
7,"Altoona","0112",10,"Unified","Altoona Sch Dist",90.25423729,"90.3%",67053729.9665283,81517.8816076801
8,"Amery","0119",11,"Unified","Amery Sch Dist",86.38968481,"86.4%",853691667.2608,266893.542620092
9,"Antigo Unified","0140",9,"Unified","Antigo Unified Sch Dist",87.77895855,"87.8%",2829575798.80386,337768.664086017
10,"Appleton Area","0147",6,"Unified","Appleton Area Sch Dist",95.05533485,"95.1%",225562204.97555,81230.4051074604
11,"Arcadia","0154",4,"Unified","Arcadia Sch Dist",99.30981595,"99.3%",1078661598.76415,333055.736237775
12,"Argyle","0161",3,"Unified","Argyle Sch Dist",90.84745763,"90.8%",400080967.112511,205178.529297225
13,"Arrowhead UHS","2450",1,"Secondary","Arrowhead UHS Sch Dist",95.15899383,"95.2%",328585273.020118,100449.668798018
14,"Ashland","0170",12,"Unified","Ashland Sch Dist",91.71855542,"91.7%",2236926136.7566,345674.400773575
15,"Ashwaubenon","0182",7,"Unified","Ashwaubenon Sch Dist",94.14710485,"94.1%",51532006.9907711,48197.6749137226
16,"Athens","0196",9,"Unified","Athens Sch Dist",87.1040724,"87.1%",811544125.809596,153262.555627657
17,"Auburndale","0203",5,"Unified","Auburndale Sch Dist",90.26442308,"90.3%",771142084.021269,198534.260429984
18,"Augusta","0217",10,"Unified","Augusta Sch Dist",90.41322314,"90.4%",849745043.853549,207441.413916941
19,"Baldwin-Woodville Area","0231",11,"Unified","Baldwin-Woodville Area Sch Dist",92.29432213,"92.3%",598244586.902843,228657.582076806
20,"Bangor","0245",4,"Unified","Bangor Sch Dist",95.45454545,"95.5%",473358077.697873,175131.614496929
21,"Baraboo","0280",5,"Unified","Baraboo Sch Dist",93.30680174,"93.3%",778256377.983636,173644.605744563
22,"Barneveld","0287",3,"Unified","Barneveld Sch Dist",55.33910534,"55.3%",325456281.159101,97517.3828291476
23,"Barron Area","0308",11,"Unified","Barron Area Sch Dist",81.86864015,"81.9%",949085455.67768,330882.021589598
24,"Bayfield","0315",12,"Unified","Bayfield Sch Dist",86.51399491,"86.5%",1202234828.49545,538803.918244288
25,"Beaver Dam Unified","0336",6,"Unified","Beaver Dam Unified Sch Dist",88.70505886,"88.7%",574548024.199739,185167.790573095
26,"Beecher-Dunbar-Pembine","4263",8,"Unified","Beecher-Dunbar-Pembine Sch Dist",86.26609442,"86.3%",1174919214.38558,164909.462410813
27,"Belleville","0350",2,"Unified","Belleville Sch Dist",95.58985667,"95.6%",345538121.925323,158327.044647993
28,"Belmont Community","0364",3,"Unified","Belmont Community Sch Dist",88,"88%",487088079.872712,159956.919400611
29,"Beloit","0413",2,"Unified","Beloit Sch Dist",96.0599654,"96.1%",83740371.854598,88071.1789682532
30,"Beloit Turner","0422",2,"Unified","Beloit Turner Sch Dist",92.57213014,"92.6%",143888214.961239,122760.245306425
31,"Benton","0427",3,"Unified","Benton Sch Dist",87.21461187,"87.2%",155076721.984559,180363.058203735
32,"Berlin Area","0434",6,"Unified","Berlin Area Sch Dist",94.35240964,"94.4%",1033406278.29176,273254.265456647
33,"Big Foot UHS","6013",2,"Secondary","Big Foot UHS Sch Dist",92.98245614,"93%",363391614.81063,132173.918453798
34,"Birchwood","0441",11,"Unified","Birchwood Sch Dist",86.00823045,"86%",1227402106.63028,243148.597732909
35,"Black Hawk","2240",3,"Unified","Black Hawk Sch Dist",93.05555556,"93.1%",639172573.478745,274375.363585245
36,"Black River Falls","0476",4,"Unified","Black River Falls Sch Dist",93.19640565,"93.2%",2359439733.48153,374353.083795494
37,"Blair-Taylor","0485",4,"Unified","Blair-Taylor Sch Dist",98.98477157,"99%",890496478.585809,264803.576902696
38,"Bloomer","0497",10,"Unified","Bloomer Sch Dist",93.23248408,"93.2%",877950151.008064,229294.518123603
39,"Bonduel","0602",8,"Unified","Bonduel Sch Dist",89.70588235,"89.7%",763209442.358742,218867.410118109
40,"Boscobel Area","0609",3,"Unified","Boscobel Area Sch Dist",87.80487805,"87.8%",851123731.684966,329435.953469656
41,"Bowler","0623",8,"Unified","Bowler Sch Dist",90.16393443,"90.2%",647243298.25879,126075.56415695
42,"Boyceville Community","0637",11,"Unified","Boyceville Community Sch Dist",89.44365193,"89.4%",840886295.471408,345543.84553633
43,"Brighton #1","0657",2,"Elementary","Brighton #1 Sch Dist",91.41414141,"91.4%",161396074.838946,58300.9377854596
44,"Brillion","0658",7,"Unified","Brillion Sch Dist",88.99371069,"89%",320062177.492291,183769.760127751
45,"Bristol #1","0665",2,"Elementary","Bristol #1 Sch Dist",90.33412888,"90.3%",155843255.520522,54174.3797206097
46,"Brodhead","0700",2,"Unified","Brodhead Sch Dist",95.69049951,"95.7%",475026118.764656,209368.384771035
47,"Brown Deer","0721",1,"Unified","Brown Deer Sch Dist",89.99393572,"90%",21693613.7243976,24143.3119098242
48,"Bruce","0735",10,"Unified","Bruce Sch Dist",96.90721649,"96.9%",1427341102.89878,274603.064936469
49,"Burlington Area","0777",2,"Unified","Burlington Area Sch Dist",89.44141689,"89.4%",477674382.18322,141757.08582882
50,"Cadott Community","0870",10,"Unified","Cadott Community Sch Dist",89.74358974,"89.7%",788201370.493552,203206.185815862
51,"Cambria-Friesland","0882",5,"Unified","Cambria-Friesland Sch Dist",62.08333333,"62.1%",412944584.148544,207234.244543107
52,"Cambridge","0896",2,"Unified","Cambridge Sch Dist",92.34972678,"92.3%",313414301.640566,165002.490622439
53,"Cameron","0903",11,"Unified","Cameron Sch Dist",98.44810863,"98.4%",367743730.613834,161155.572162455
54,"Campbellsport","0910",6,"Unified","Campbellsport Sch Dist",88.19133034,"88.2%",886817105.84655,224848.55085275
55,"Cashton","0980",4,"Unified","Cashton Sch Dist",96.0443038,"96%",582274213.335531,285799.264004971
56,"Cassville","0994",3,"Unified","Cassville Sch Dist",93.10344828,"93.1%",434578626.901388,272120.010036194
57,"Cedar Grove-Belgium Area","1029",7,"Unified","Cedar Grove-Belgium Area Sch Dist",90.53905391,"90.5%",187098206.391357,99753.3877499371
58,"Cedarburg","1015",1,"Unified","Cedarburg Sch Dist",92.72435897,"92.7%",170694413.865388,70629.9810324098
59,"Westosha Central UHS","5054",2,"Secondary","Central/Westosha UHS Sch Dist",91.03392569,"91%",670261070.008966,148446.642552238
60,"Chequamegon","1071",12,"Unified","Chequamegon Sch Dist",94.64285714,"94.6%",3962815038.58017,440293.778988766
61,"Chetek-Weyerhaeuser Area","1080",11,"Unified","Chetek-Weyerhaeuser Area Sch Dist",90.76086957,"90.8%",1334941792.46147,320674.613564841
62,"Chilton","1085",7,"Unified","Chilton Sch Dist",90.2972028,"90.3%",517604248.898225,229048.599968784
63,"Chippewa Falls Area Unified","1092",10,"Unified","Chippewa Falls Area Unified Sch Dist",91.02908277,"91%",1167573751.16703,236354.692038713
64,"Clayton","1120",11,"Unified","Clayton Sch Dist",82.43727599,"82.4%",299974170.041078,132567.234907169
65,"Clinton Community","1134",2,"Unified","Clinton Community Sch Dist",89.60915157,"89.6%",533402121.585339,153676.136310556
66,"Clintonville","1141",8,"Unified","Clintonville Sch Dist",91.98782961,"92%",838993978.582777,207754.251160186
67,"Colby","1162",10,"Unified","Colby Sch Dist",88.09261301,"88.1%",844537836.485729,230182.535476943
68,"Coleman","1169",8,"Unified","Coleman Sch Dist",96.37096774,"96.4%",996854138.970534,220055.100418487
69,"Colfax","1176",11,"Unified","Colfax Sch Dist",95.23809524,"95.2%",952584604.206691,266363.232619411
70,"Columbus","1183",5,"Unified","Columbus Sch Dist",97.24770642,"97.2%",650491196.677157,218544.038681679
71,"Cornell","1204",10,"Unified","Cornell Sch Dist",90.94650206,"90.9%",526117476.446542,141078.147285874
72,"Crandon","1218",8,"Unified","Crandon Sch Dist",92.17809868,"92.2%",2816792662.79248,345475.966593402
73,"Crivitz","1232",8,"Unified","Crivitz Sch Dist",93.96226415,"94%",1491825123.0746,225570.487852267
74,"Cuba City","1246",3,"Unified","Cuba City Sch Dist",93.03977273,"93%",376036751.207362,275607.891212485
75,"Cudahy","1253",1,"Unified","Cudahy Sch Dist",91.81731684,"91.8%",23107883.8089139,20145.6498726261
76,"Cumberland","1260",11,"Unified","Cumberland Sch Dist",88.55291577,"88.6%",985667614.716901,203554.839255241
77,"D C Everest Area","4970",9,"Unified","D C Everest Area Sch Dist",93.23748669,"93.2%",835386854.378351,157821.264480374
78,"Darlington Community","1295",3,"Unified","Darlington Community Sch Dist",86.05927552,"86.1%",767219342.798403,325575.251833078
79,"De Pere","1414",7,"Unified","De Pere Sch Dist",90.38376709,"90.4%",321925528.500161,135499.312841887
80,"Deerfield Community","1309",2,"Unified","Deerfield Community Sch Dist",95.2,"95.2%",200669362.73937,152434.614890701
81,"DeForest Area","1316",2,"Unified","De Forest Area Sch Dist",94.8854041,"94.9%",436423035.527033,154327.309193377
82,"Delavan-Darien","1380",2,"Unified","Delavan-Darien Sch Dist",91.03291714,"91%",472414073.920572,152151.23090236
83,"Denmark","1407",7,"Unified","Denmark Sch Dist",93.374613,"93.4%",713908352.873729,173971.394141907
84,"Dodgeland","2744",6,"Unified","Dodgeland Sch Dist",88.10861423,"88.1%",422879801.015545,253561.341614424
85,"Dodgeville","1428",3,"Unified","Dodgeville Sch Dist",96.78030303,"96.8%",910179068.235458,319013.57528161
86,"Dover #1","1449",2,"Elementary","Dover #1 Sch Dist",92.04545455,"92%",54187849.1993777,35807.1688407052
87,"Drummond Area","1491",12,"Unified","Drummond Area Sch Dist",87.61061947,"87.6%",3668443908.91801,284974.844489962
88,"East Troy Community","1540",2,"Unified","East Troy Community Sch Dist",91.5913829,"91.6%",444922130.884526,116867.900339195
89,"Eau Claire Area","1554",10,"Unified","Eau Claire Area Sch Dist",91.67266372,"91.7%",1011089451.08026,384030.03982739
90,"Edgar","1561",9,"Unified","Edgar Sch Dist",90.60955519,"90.6%",420744993.646051,161955.055079583
91,"Edgerton","1568",2,"Unified","Edgerton Sch Dist",92.29177444,"92.3%",442401635.309028,130310.582443425
92,"Elcho","1582",9,"Unified","Elcho Sch Dist",36.44067797,"36.4%",1696762708.06608,214878.182421323
93,"Eleva-Strum","1600",10,"Unified","Eleva-Strum Sch Dist",86.9955157,"87%",639934410.258359,200424.683848342
94,"Elk Mound Area","1645",11,"Unified","Elk Mound Area Sch Dist",85.06550218,"85.1%",456820810.496043,182127.903736485
95,"Elkhart Lake-Glenbeulah","1631",7,"Unified","Elkhart Lake-Glenbeulah Sch Dist",91.875,"91.9%",270617704.881326,220096.788893088
96,"Elkhorn Area","1638",2,"Unified","Elkhorn Area Sch Dist",93.03400462,"93%",422117287.891029,161508.983721899
97,"Ellsworth Community","1659",11,"Unified","Ellsworth Community Sch Dist",90.39900249,"90.4%",1180011584.79446,219043.733704402
98,"Elmbrook","0714",1,"Unified","Elmbrook Sch Dist",92.36827033,"92.4%",159623147.306416,61169.4404872178
99,"Elmwood","1666",11,"Unified","Elmwood Sch Dist",91.66666667,"91.7%",502459992.034313,193771.27414612
100,"Evansville Community","1694",2,"Unified","Evansville Community Sch Dist",92.40356083,"92.4%",502366980.604727,199503.53452681
101,"Fall Creek","1729",10,"Unified","Fall Creek Sch Dist",87.44292237,"87.4%",548488783.03572,205481.779927064
102,"Fall River","1736",5,"Unified","Fall River Sch Dist",85.34653465,"85.3%",238347689.861578,156238.54912069
103,"Fennimore Community","1813",3,"Unified","Fennimore Community Sch Dist",89.54489545,"89.5%",707466586.744189,278422.898982439
104,"Flambeau","5757",10,"Unified","Flambeau Sch Dist",88.04123711,"88%",2120307114.54737,270930.278471552
105,"Florence","1855",8,"Unified","Florence County Sch Dist",72.95918367,"73%",2654221275.38289,265564.52717341
106,"Fond Du Lac","1862",6,"Unified","Fond du Lac Sch Dist",89.95412118,"90%",398998557.55809,163234.65532015
107,"Fontana J8","1870",2,"Elementary","Fontana J8 Sch Dist",88.05970149,"88.1%",59100392.8001803,52320.8531235695
108,"Fort Atkinson","1883",2,"Unified","Fort Atkinson Sch Dist",90.98918702,"91%",524698244.75368,189627.408128464
109,"Fox Point J2","1890",1,"Elementary","Fox Point J2 Sch Dist",93.45454545,"93.5%",18356672.1062966,26522.4767653013
110,"Franklin Public","1900",1,"Unified","Franklin Public Sch Dist",94.83013294,"94.8%",139938504.616544,63146.2553473975
111,"Frederic","1939",11,"Unified","Frederic Sch Dist",89.51048951,"89.5%",807547086.124364,167832.333573064
112,"Freedom Area","1953",6,"Unified","Freedom Area Sch Dist",100,"100%",383638467.399927,112752.030004281
113,"Galesville-Ettrick-Trempealeau","2009",4,"Unified","Galesville-Ettrick-Trempealeau Sch Dist",94.93763756,"94.9%",905521867.007394,203086.073440254
114,"Geneva J4","2044",2,"Elementary","Geneva J4 Sch Dist",82.23684211,"82.2%",29338463.5253233,27443.0390401291
115,"Genoa City J2","2051",2,"Elementary","Genoa City J2 Sch Dist",87.36616702,"87.4%",86843573.1067241,54915.8253104647
116,"Germantown","2058",1,"Unified","Germantown Sch Dist",91.40310523,"91.4%",279989746.019681,101235.084866329
117,"Gibraltar Area","2114",7,"Unified","Gibraltar Area Sch Dist",89.39670932,"89.4%",723089835.362319,292888.95029887
118,"Gilman","2135",10,"Unified","Gilman Sch Dist",86.15916955,"86.2%",1744011768.64678,262805.911658215
119,"Gilmanton","2142",10,"Unified","Gilmanton Sch Dist",92.06349206,"92.1%",487187317.275099,147132.878000907
120,"Glendale-River Hills","2184",1,"Elementary","Glendale-River Hills Sch Dist",94.18254764,"94.2%",31562406.7524318,41240.5295074735
121,"Glenwood City","2198",11,"Unified","Glenwood City Sch Dist",70.83333333,"70.8%",599164836.691742,253579.482973114
122,"Goodman-Armstrong Creek","2212",8,"Unified","Goodman-Armstrong Creek Sch Dist",84.21052632,"84.2%",843102862.33383,131343.414574326
123,"Grafton","2217",1,"Unified","Grafton Sch Dist",90.61763319,"90.6%",105396933.275234,72725.0314030796
124,"Granton Area","2226",10,"Unified","Granton Area Sch Dist",96.91629956,"96.9%",396789011.312484,136240.286994885
125,"Green Bay Area","2289",7,"Unified","Green Bay Area Public Sch Dist",91.03491664,"91%",492711046.051298,177382.534632601
126,"Green Lake","2310",6,"Unified","Green Lake Sch Dist",92.77978339,"92.8%",204901560.800861,132183.031867586
127,"Greendale","2296",1,"Unified","Greendale Sch Dist",91.27013863,"91.3%",26928510.2812248,27887.4498497635
128,"Greenfield","2303",1,"Unified","Greenfield Sch Dist",92.91023442,"92.9%",35664054.518382,62821.1829093263
129,"Greenwood","2394",10,"Unified","Greenwood Sch Dist",90.57142857,"90.6%",763286530.922603,167580.109339568
130,"Gresham","2415",8,"Unified","Gresham Sch Dist",92.40924092,"92.4%",288411817.680958,100642.963936296
131,"Hamilton","2420",1,"Unified","Hamilton Sch Dist",95.45632589,"95.5%",185935491.792991,84329.4594900747
132,"Hartford J1","2443",6,"Elementary","Hartford J1 Sch Dist",90.25674786,"90.3%",239658190.515574,135613.905851737
133,"Hartford UHS","2436",6,"Secondary","Hartford UHS Sch Dist",92.42779079,"92.4%",887264696.917186,246802.223282361
134,"Hartland-Lakeside J3","2460",1,"Elementary","Hartland-Lakeside J3 Sch Dist",90.53097345,"90.5%",46691837.1808707,44697.8935379563
135,"Hayward Community","2478",12,"Unified","Hayward Community Sch Dist",90.70455891,"90.7%",3290433219.47236,316530.079591818
136,"Herman-Neosho-Rubicon","2525",6,"Elementary","Herman-Neosho-Rubicon Sch Dist",82.13166144,"82.1%",402510808.320725,176172.73673828
137,"Highland","2527",3,"Unified","Highland Sch Dist",100,"100%",353047431.405814,140703.321590459
138,"Hilbert","2534",7,"Unified","Hilbert Sch Dist",87.79443255,"87.8%",267502366.604904,133794.45827709
139,"Hillsboro","2541",4,"Unified","Hillsboro Sch Dist",96.81908549,"96.8%",691000239.118073,264356.408962471
140,"Holmen","2562",4,"Unified","Holmen Sch Dist",94.51092612,"94.5%",503003380.221848,165910.046514923
141,"Horicon","2576",6,"Unified","Horicon Sch Dist",98.61286255,"98.6%",258130299.821944,158374.786783562
142,"Hortonville Area","2583",6,"Unified","Hortonville Area Sch Dist",91.75329175,"91.8%",555502554.546222,148013.399473373
143,"Howard-Suamico","2604",7,"Unified","Howard-Suamico Sch Dist",91.68970283,"91.7%",281150134.805688,166787.765389049
144,"Howards Grove","2605",7,"Unified","Howards Grove Sch Dist",93.08108108,"93.1%",257861378.293014,155987.43079323
145,"Butternut","0840",12,"Unified",,-3,"No data",1254555482.55631,207608.956521607
146,"Cochrane-Fountain City","1155",4,"Unified",,-3,"No data",809241029.949177,321718.11064491
147,"De Soto Area","1421",4,"Unified",,-3,"No data",797300228.868472,241154.192554053
148,"Erin","1687",6,"Elementary",,-3,"No data",117578612.449099,61409.8149595556
149,"Gillett","2128",8,"Unified",,-3,"No data",573066750.303482,148855.357125796
150,"Grantsburg","2233",11,"Unified",,-3,"No data",1397345679.0938,203465.653042679
151,"Holy Hill Area","2570",6,"Elementary",,-3,"No data",127516982.911517,80369.5096039148
152,"Hudson","2611",11,"Unified","Hudson Sch Dist",88.58355223,"88.6%",345069642.265571,165678.49783557
153,"Hurley","2618",12,"Unified","Hurley Sch Dist",92.50457038,"92.5%",2614592080.14964,294791.656502479
154,"Hustisford","2625",6,"Unified","Hustisford Sch Dist",96.89922481,"96.9%",251765389.059586,188785.521249667
155,"Independence","2632",4,"Unified","Independence Sch Dist",100,"100%",477803677.681961,210579.648469997
156,"Iola-Scandinavia","2639",5,"Unified","Iola-Scandinavia Sch Dist",88.40070299,"88.4%",681215677.531879,185659.16130289
157,"Iowa-Grant","2646",3,"Unified","Iowa-Grant Sch Dist",95.06531205,"95.1%",796779596.320091,299509.343122321
158,"Ithaca","2660",3,"Unified","Ithaca Sch Dist",89.97289973,"90%",428003126.199594,302483.332700516
159,"Janesville","2695",2,"Unified","Janesville Sch Dist",96.02141507,"96%",408287764.149235,103006.472589389
160,"Jefferson","2702",2,"Unified","Jefferson Sch Dist",93.24090121,"93.2%",513903251.638052,213952.527755597
161,"Johnson Creek","2730",2,"Unified","Johnson Creek Sch Dist",96.35761589,"96.4%",206948445.840447,156851.739006831
162,"Juda","2737",2,"Unified","Juda Sch Dist",69.89528796,"69.9%",272877235.696029,153409.556799583
163,"Kaukauna Area","2758",6,"Unified","Kaukauna Area Sch Dist",92.72323631,"92.7%",351433172.78937,144241.518200373
164,"Kenosha","2793",1,"Unified","Kenosha Sch Dist",84.95173493,"85%",409839560.730841,93423.2650835358
165,"Kettle Moraine","1376",1,"Unified","Kettle Moraine Sch Dist",89.38223938,"89.4%",398828621.069488,168588.837398944
166,"Kewaskum","2800",6,"Unified","Kewaskum Sch Dist",90.66115702,"90.7%",696041898.739292,186903.538599056
167,"Kewaunee","2814",7,"Unified","Kewaunee Sch Dist",92.54947614,"92.5%",655934075.390342,133668.562105586
168,"Kickapoo Area","5960",3,"Unified","Kickapoo Area Sch Dist",87.68577495,"87.7%",730442904.455067,288733.778820255
169,"Kiel Area","2828",7,"Unified","Kiel Area Sch Dist",91.86241611,"91.9%",544161046.941735,174976.636802863
170,"Kimberly Area","2835",6,"Unified","Kimberly Area Sch Dist",93.37478143,"93.4%",67666413.1585688,43990.690101613
171,"Kohler","2842",7,"Unified","Kohler Sch Dist",94.42231076,"94.4%",53027239.5698247,64170.6821700485
172,"La Crosse","2849",4,"Unified","La Crosse Sch Dist",92.4674886,"92.5%",479039713.059349,215194.497885469
173,"La Farge","2863",4,"Unified","La Farge Sch Dist",86.45418327,"86.5%",351307868.796764,144623.481122254
174,"Lac du Flambeau #1","1848",9,"Elementary","Lac du Flambeau #1 Sch Dist",89.0625,"89.1%",685290258.820165,121779.26649546
175,"Ladysmith","2856",10,"Unified","Ladysmith Sch Dist",92.22222222,"92.2%",576985010.632242,165142.152964799
176,"Lake Country","3862",1,"Elementary","Lake Country Sch Dist",94.79166667,"94.8%",43333332.8652677,45975.7579765083
177,"Lake Geneva-Genoa City UHS","2884",2,"Secondary","Lake Geneva-Genoa City UHS Sch Dist",92.81934996,"92.8%",458316463.998653,131962.058073252
178,"Lake Geneva J1","2885",2,"Elementary","Lake Geneva J1 Sch Dist",87.02997275,"87%",267999474.044946,125223.097120484
179,"Lake Holcombe","2891",10,"Unified","Lake Holcombe Sch Dist",90.63670412,"90.6%",948323000.623965,185481.112395257
180,"Lake Mills Area","2898",2,"Unified","Lake Mills Area Sch Dist",92.28210246,"92.3%",378072623.563534,181747.858535362
181,"Lakeland UHS","3647",9,"Secondary","Lakeland UHS Sch Dist",95.95959596,"96%",4032159533.39622,333685.508977377
182,"Lancaster Community","2912",3,"Unified","Lancaster Community Sch Dist",94.64646465,"94.6%",703120983.697842,343061.719092151
183,"Laona","2940",8,"Unified","Laona Sch Dist",90.97222222,"91%",1288535782.21075,192860.806749751
184,"Lena","2961",8,"Unified","Lena Sch Dist",92.61904762,"92.6%",449213503.065979,110567.806085193
185,"Linn J4","3087",2,"Elementary","Linn J4 Sch Dist",85.86956522,"85.9%",74133489.9813444,45528.5997853198
186,"Linn J6","3094",2,"Elementary","Linn J6 Sch Dist",85.13513514,"85.1%",80656428.342283,52212.8468174065
187,"Little Chute Area","3129",6,"Unified","Little Chute Area Sch Dist",73.67214368,"73.7%",16037384.7255167,19889.1497086711
188,"Lodi","3150",5,"Unified","Lodi Sch Dist",93.01861702,"93%",470100879.668298,140353.676862019
189,"Lomira","3171",6,"Unified","Lomira Sch Dist",92.30769231,"92.3%",365577606.084946,166549.916189479
190,"Luck","3213",11,"Unified","Luck Sch Dist",90.05102041,"90.1%",578237032.274696,217386.786653953
191,"Luxemburg-Casco","3220",7,"Unified","Luxemburg-Casco Sch Dist",94.75262369,"94.8%",875311676.517396,163727.19326605
192,"Madison Metropolitan","3269",2,"Unified","Madison Metropolitan Sch Dist",91.45032747,"91.5%",468699187.884639,318723.970180035
193,"Manawa","3276",6,"Unified","Manawa Sch Dist",93.05555556,"93.1%",559481514.781266,148258.721600138
194,"Manitowoc","3290",7,"Unified","Manitowoc Sch Dist",93.27131112,"93.3%",465093234.132208,151006.676714844
195,"Maple","3297",12,"Unified","Maple Sch Dist",90.1614143,"90.2%",2444557515.1381,275186.233710636
196,"Maple Dale-Indian Hill","1897",1,"Elementary","Maple Dale-Indian Hill Sch Dist",93.37899543,"93.4%",30354222.9622123,25638.5852048184
197,"Marathon City","3304",9,"Unified","Marathon City Sch Dist",92.13333333,"92.1%",537764853.96357,160789.535492918
198,"Marinette","3311",8,"Unified","Marinette Sch Dist",89.75966562,"89.8%",506928027.090593,200823.894830998
199,"Marion","3318",8,"Unified","Marion Sch Dist",89.03508772,"89%",651391872.242117,192122.53290341
200,"Markesan","3325",6,"Unified","Markesan Sch Dist",89.91060026,"89.9%",882083223.033764,264980.469735521
201,"Marshall","3332",2,"Unified","Marshall Sch Dist",97.44160178,"97.4%",272041750.492606,102370.540507509
202,"Marshfield Unified","3339",5,"Unified","Marshfield Unified Sch Dist",94.92156341,"94.9%",967322241.846691,225587.685663947
203,"Mauston","3360",5,"Unified","Mauston Sch Dist",87.1886121,"87.2%",1033442474.89564,230505.485099176
204,"Mcfarland","3381",2,"Unified","McFarland Sch Dist",88.75715454,"88.8%",112761436.406989,111709.052284103
205,"Medford Area Public","3409",10,"Unified","Medford Area Public Sch Dist",92.14387127,"92.1%",1826455918.80747,234428.374084844
206,"Melrose-Mindoro","3428",4,"Unified","Melrose-Mindoro Sch Dist",94.4591029,"94.5%",955984129.065237,237961.845422144
207,"Menasha Joint","3430",6,"Unified","Menasha Joint Sch Dist",93.02251824,"93%",46086606.1392171,35363.7828667162
208,"Menominee Indian","3434",8,"Unified","Menominee Indian Sch Dist",98.77300613,"98.8%",1903903106.77742,197897.755705275
