"OBJECTID","SCHOOL","DIST_SCHL","DISTSCHL","ADDRESS","CITY","STATE","ZIP","MAIL_CITY","MAIL_ST","DISTRICT","COMMENT","WebAllPercentMinReq","WebAllPercentInProcess","WebAllPercentBehindSchedule","WebAllPercentNoRecord","WebAllPercentHealth","WebAllPercentRelig","WebAllPercentPers","WebAllPercentNoShots","WebAllPercentMinReq_TXT","WebAllPercentInProcess_TXT","WebAllPercentBehindSchedule_TXT","WebAllPercentNoRecord_TXT","WebAllPercentHealth_TXT","WebAllPercentRelig_TXT","WebAllPercentPers_TXT","WebAllPercentNoShots_TXT","LAT","LON"
388,"Pleasant Ridge Waldorf School","5985/2305",,"431 E Court St","Viroqua","WI","54665-1716",,,"Viroqua Area","Report received",29,6,4,4,4,4,32,28,"29%","6%","<5%","<5%","<5%","<5%","32%","28%",43.55592192,-90.88424152
389,"Pleasant View Amish School","6354/1594",,"33832 State Hwy 154","Hillpoint","WI","53937-7309",,,"Weston","No report received",-6,-6,-6,-6,-6,-6,-6,-6,"No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received",43.39016594,-90.19816727
390,"Pleasant View Amish School","3318/1664",,"N10621 State Road 110","Marion","WI","54950",,,"Marion","Report received",4,4,4,96,4,96,4,96,"<5%","<5%","<5%",">95%","<5%",">95%","<5%",">95%",44.62463921,-88.90086802
391,"Pleasant View Mennonite School","0700/1588",,"93881 County Road E","Brodhead","WI","53520",,,"Brodhead","No report received",-6,-6,-6,-6,-6,-6,-6,-6,"No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received",42.64754853,-89.38754107
392,"PowerHouse Christian School","5656/1804",,"304 Woodward  Ave","Sun Prairie","WI","53590",,,"Sun Prairie Area","Report received",25,17,4,4,4,25,33,42,"25%","17%","<5%","<5%","<5%","25%","33%","42%",43.18336098,-89.246525
393,"Prairie Catholic School","4543/1289",,"515 N Beaumont Rd","Prairie du Chien","WI","53821-1211",,,"Prairie du Chien Area","Report received",88,4,8,4,4,4,4,4,"88%","<5%","8%","<5%","<5%","<5%","<5%","<5%",43.05850285,-91.14707154
394,"Prairie Christian Academy","4543/2314",,"1110 N Marquette Rd","Prairie du Chien","WI","53821-1100",,,"Prairie du Chien Area","No report received",-6,-6,-6,-6,-6,-6,-6,-6,"No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received",43.06506982,-91.13537057
395,"Prairie Hill Waldorf School","1376/2315",,"N14W29143 Silvernail Rd","Pewaukee","WI","53072-4855",,,"Kettle Moraine","Report received",60,4,4,4,4,14,24,23,"60%","<5%","<5%","<5%","<5%","14%","24%","23%",43.04937499,-88.32706472
396,"Prairie School","4620/2317",,"4050 Lighthouse Dr","Wind Point","WI","53402-3114",,,"Racine Unified","Report received",96,4,4,4,4,4,4,4,">95%","<5%","<5%","<5%","<5%","<5%","<5%","<5%",42.77340496,-87.77479652
397,"Preschool of the Arts","3269/1862",,"11 Science Ct","Madison","WI","53711-1055",,,"Madison Metropolitan","No report received",-6,-6,-6,-6,-6,-6,-6,-6,"No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received",43.05997795,-89.46679803
398,"Primrose School of Middleton","3549/1739",,"3000 Deming Way","Middleton","WI","53562-1432",,,"Middleton-Cross Plains Area","Report received",8,41,4,4,4,4,4,4,"8%","41%","<5%","<5%","<5%","<5%","<5%","<5%",43.10553595,-89.51970211
399,"Prince of Peace","3619/1205",,"1114 S 25th St","Milwaukee","WI","53204-1940",,,"Milwaukee","Report received",93,4,4,4,4,4,4,4,"93%","<5%","<5%","<5%","<5%","<5%","<5%","<5%",43.01982699,-87.94462057
400,"Providence Academy","2604/2335",,"3435 Shawano Ave","Green Bay","WI","54313-7392",,,"Howard-Suamico","Report received",73,4,4,4,4,6,20,8,"73%","<5%","<5%","<5%","<5%","6%","20%","8%",44.55911426,-88.11767984
401,"Providence Academy","2849/1466",,"716 Windsor St","La Crosse","WI","54603-2576",,,"La Crosse","Report received",61,4,4,4,4,23,14,4,"61%","<5%","<5%","<5%","<5%","23%","14%","<5%",43.83898896,-91.24574962
402,"Quaker Valley Amish School","6354/1592",,"S2441 Quaker Valley Rd","La Valle","WI","53941",,,"Weston","No report received",-6,-6,-6,-6,-6,-6,-6,-6,"No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received",43.55718197,-90.20741228
403,"Queen of the Apostles School","5747/6050",,"315 W Monroe St","Tomah","WI","54660-1997",,,"Tomah Area","Report received",84,4,4,4,4,4,11,7,"84%","<5%","<5%","<5%","<5%","<5%","11%","7%",43.97987104,-90.50789342
404,"Queen of the Holy Rosary School","3871/2340",,"W5606 Shrine Rd","Necedah","WI","54646-7913",,,"Necedah Area","Report received",19,4,4,4,4,62,71,81,"19%","<5%","<5%","<5%","<5%","62%","71%","81%",44.02278605,-90.05120932
405,"Racine Christian School","4620/2360",,"912 Virginia St","Racine","WI","53405-2296",,,"Racine Unified","Report received",83,4,4,4,4,5,7,12,"83%","<5%","<5%","<5%","<5%","5%","7%","12%",42.72215795,-87.83535855
406,"Racine Montessori School","4620/2372",,"2317 Howe St","Racine","WI","53403-3328",,,"Racine Unified","Report received",83,4,4,4,4,4,15,10,"83%","<5%","<5%","<5%","<5%","<5%","15%","10%",42.70076498,-87.79091156
407,"Randolph Christian School Society, Inc.","4634/2380",,"457 2nd St","Randolph","WI","53956-1241",,,"Randolph","Report received",74,4,4,4,4,8,18,4,"74%","<5%","<5%","<5%","<5%","8%","18%","<5%",43.54330403,-89.01049694
408,"Redeemer Evangelical Lutheran School","4802/1515",,"520 E Orchard Beach La","Rice Lake","WI","54868",,,"Rice Lake Area","Report received",96,4,4,4,4,4,4,4,">95%","<5%","<5%","<5%","<5%","<5%","<5%","<5%",45.48603118,-91.72562699
409,"Redeemer Lutheran Grade School","1862/2410",,"606 Forest Ave","Fond du Lac","WI","54935-3943",,,"Fond du Lac","Report received",94,4,4,4,4,4,4,4,"94%","<5%","<5%","<5%","<5%","<5%","<5%","<5%",43.77630911,-88.46997486
410,"Regis High","1554/2440",,"2100 Fenwick Ave","Eau Claire","WI","54701-4421",,,"Eau Claire Area","Report received",56,4,4,4,4,4,8,4,"56%","<5%","<5%","<5%","<5%","<5%","8%","<5%",44.80468609,-91.47211684
411,"Regis Middle","1554/1183",,"2100 Fenwick Ave","Eau Claire","WI","54701-4421",,,"Eau Claire Area","Report received",90,4,4,4,4,4,10,4,"90%","<5%","<5%","<5%","<5%","<5%","10%","<5%",44.80468609,-91.47211684
412,"Renaissance Lutheran School","4620/1619",,"6150 Taylor Ave","Racine","WI","53403-9779",,,"Racine Unified","Report received",92,4,4,4,4,4,4,4,"92%","<5%","<5%","<5%","<5%","<5%","<5%","<5%",42.67882095,-87.85507756
413,"Richardson School","6300/1622",,"6753 W Rogers St","West Allis","WI","53219-1345",,,"West Allis-West Milwaukee","No report received",-6,-6,-6,-6,-6,-6,-6,-6,"No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received",43.00773601,-87.99712759
414,"Richardson School","0413/1672",,"321 Olympian Blvd","Beloit","WI","53511-4209",,,"Beloit","No report received",-6,-6,-6,-6,-6,-6,-6,-6,"No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received",42.51663685,-89.04232486
415,"Richardson School","6174/1718",,"175 S Barker Rd","Brookfield","WI","53045-3556",,,"Waukesha","No report received",-6,-6,-6,-6,-6,-6,-6,-6,"No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received",43.03069898,-88.16783365
416,"Richardson School","3269/1744",,"2802 International Ln","Madison","WI","53704-3124",,,"Madison Metropolitan","No report received",-6,-6,-6,-6,-6,-6,-6,-6,"No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received",43.12737396,-89.35047705
417,"Richardson School","0147/1819",,"2331 E Lourdes Drive","Appleton","WI","54915-3615",,,"Appleton Area","Report received",91,4,6,4,4,4,4,4,"91%","<5%","6%","<5%","<5%","<5%","<5%","<5%",44.25174318,-88.36991683
418,"Right Step, Inc.","3619/1530",,"4050 N 34th St","Milwaukee","WI","53216-1702",,,"Milwaukee","No report received",-6,-6,-6,-6,-6,-6,-6,-6,"No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received",43.09100902,-87.9553516
419,"Risen Savior Lutheran School","3619/1351",,"9550 W Brown Deer Rd","Milwaukee","WI","53224",,,"Milwaukee","Report received",85,4,4,4,4,4,4,4,"85%","<5%","<5%","<5%","<5%","<5%","<5%","<5%",43.17864405,-88.02968763
420,"Riverview Lutheran School","0147/2450",,"136 W Seymour St","Appleton","WI","54915-1388",,,"Appleton Area","Report received",78,4,4,4,4,9,12,8,"78%","<5%","<5%","<5%","<5%","9%","12%","8%",44.24857118,-88.40598384
421,"Rock County Christian School","0413/2457",,"916 Bushnell St","Beloit","WI","53511-6306",,,"Beloit","Report received",77,4,4,4,4,4,23,17,"77%","<5%","<5%","<5%","<5%","<5%","23%","17%",42.50111688,-89.02606287
422,"Rock County Christian School- Janesville","2695/1595",,"5122 S Driftwood Dr","Janesville","WI","53546-8961",,,"Janesville","Report received",72,4,4,4,4,4,27,20,"72%","<5%","<5%","<5%","<5%","<5%","27%","20%",42.6053669,-89.03221688
423,"Rock Prairie Montessori Inc","3612/1112",,"5246 E Rotamer Rd","Janesville","WI","53546-3809",,,"Milton","Report received",90,4,4,4,4,4,10,10,"90%","<5%","<5%","<5%","<5%","<5%","10%","10%",42.7276609,-88.9410169
424,"Rolling Acres Amish School","6426/1691",,"W15490 Lambright Rd","Blair","WI","54616",,,"Whitehall","No report received",-6,-6,-6,-6,-6,-6,-6,-6,"No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received",44.36225805,-91.25452973
425,"Roncalli Catholic Schools","3290/2460",,"2000 Mirro Dr","Manitowoc","WI","54220-6799",,,"Manitowoc","Report received",95,4,4,4,4,4,4,4,"95%","<5%","<5%","<5%","<5%","<5%","<5%","<5%",44.12645022,-87.63241959
426,"Roncalli Catholic Schools","3290/2460",,"2000 Mirro Dr","Manitowoc","WI","54220-6799",,,"Manitowoc","Report received",96,4,4,4,4,4,4,4,">95%","<5%","<5%","<5%","<5%","<5%","<5%","<5%",44.12645022,-87.63241959
427,"Roncalli Catholic Schools","3290/2460",,"2000 Mirro Dr","Manitowoc","WI","54220-6799",,,"Manitowoc","Report received",96,4,4,4,4,4,4,4,">95%","<5%","<5%","<5%","<5%","<5%","<5%","<5%",44.12645022,-87.63241959
428,"Royal Montessori Academy","2289/1710",,"2961 Voyager Dr","Green Bay","WI","54311-8301",,,"Green Bay Area Public","Report received",83,4,4,4,4,4,7,4,"83%","<5%","<5%","<5%","<5%","<5%","7%","<5%",44.48668426,-87.93476276
429,"Royal Montessori Academy Cormier Road","0182/1697",,"680 Cormier Rd","Green Bay","WI","54304-4824",,,"Ashwaubenon","Report received",83,4,4,4,4,4,4,4,"83%","<5%","<5%","<5%","<5%","<5%","<5%","<5%",44.48741524,-88.05640676
430,"Rustic Ridge Amish School","6354/1788",,"E2875 State Road 154","Hillpoint","WI","53937-9709",,,"Weston","No report received",-6,-6,-6,-6,-6,-6,-6,-6,"No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received",43.40288494,-90.17411431
431,"Sacred Heart Catholic School","5264/2640",,"124 E Center St","Shawano","WI","54166-2499",,,"Shawano","Report received",91,4,6,4,4,4,4,4,"91%","<5%","6%","<5%","<5%","<5%","<5%","<5%",44.77807627,-88.60833894
432,"Sacred Heart Grade School","5607/2490",,"7379 Church St","Custer","WI","54423-9757",,,"Stevens Point Area Public","Report received",86,4,4,4,4,4,10,4,"86%","<5%","<5%","<5%","<5%","<5%","10%","<5%",44.56873317,-89.41748124
433,"Sacred Heart Grade School","4753/2630",,"545 N Oak St","Reedsburg","WI","53959-1398",,,"Reedsburg","Report received",96,4,4,4,4,4,4,4,">95%","<5%","<5%","<5%","<5%","<5%","<5%","<5%",43.53770499,-89.99884725
434,"Sacred Heart School","0980/2485",,"710 Kenyon St","Cashton","WI","54619-8030",,,"Cashton","Report received",34,4,4,4,4,4,63,20,"34%","<5%","<5%","<5%","<5%","<5%","63%","20%",43.74677198,-90.7770425
435,"Sacred Hearts Grade School","5656/2730",,"219 Columbus St","Sun Prairie","WI","53590-2202",,,"Sun Prairie Area","Report received",91,4,4,4,4,4,4,4,"91%","<5%","<5%","<5%","<5%","<5%","<5%","<5%",43.18581496,-89.21014501
436,"Saint Adalbert Grade School","4963/2760",,"3314 Saint Adalbert Rd","Rosholt","WI","54473-8948",,,"Rosholt","Report received",57,4,4,4,4,23,7,10,"57%","<5%","<5%","<5%","<5%","23%","7%","10%",44.62480821,-89.32540115
437,"Saint Adalbert School","3619/2750",,"1913 W Becher St","Milwaukee","WI","53215-2611",,,"Milwaukee","No report received",-6,-6,-6,-6,-6,-6,-6,-6,"No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received",43.00630602,-87.93715958
438,"Saint Agnes School","2420/2800",,"12801 W Fairmount Ave","Butler","WI","53007-1415",,,"Hamilton","Report received",82,10,13,4,4,4,4,4,"82%","10%","13%","<5%","<5%","<5%","<5%","<5%",43.10751101,-88.07155666
439,"Saint Aloysius Grade School","5100/2870",,"608 Oak St","Sauk City","WI","53583-1032",,,"Sauk Prairie","Report received",83,6,4,4,4,4,8,8,"83%","6%","<5%","<5%","<5%","<5%","8%","8%",43.2815043,-89.72724484
440,"Saint Alphonsus Grade School","2296/2890",,"6000 W Loomis Rd","Greendale","WI","53129-1824",,,"Greendale","No report received",-6,-6,-6,-6,-6,-6,-6,-6,"No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received",42.94098701,-87.98933862
441,"Saint Ambrose Academy","3269/1360",,"3 Point Pl","Madison","WI","53719",,,"Madison Metropolitan","Report received",78,4,4,4,4,8,10,19,"78%","<5%","<5%","<5%","<5%","8%","10%","19%",43.05576893,-89.5160631
442,"Saint Andrew Parish School","1380/2950",,"115 S 7th St","Delavan","WI","53115-1832",,,"Delavan-Darien","No report received",-6,-6,-6,-6,-6,-6,-6,-6,"No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received",42.63219493,-88.63878674
443,"Saint Ann School","5621/3028",,"324 N Harrison St","Stoughton","WI","53589-1513",,,"Stoughton Area","Report received",94,4,4,4,4,4,4,4,"94%","<5%","<5%","<5%","<5%","<5%","<5%","<5%",42.92155202,-89.2301031
444,"Saint Anne Grade School","5432/2990",,"140 Church Hill Rd","Somerset","WI","54025-9024",,,"Somerset","No report received",-6,-6,-6,-6,-6,-6,-6,-6,"No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received",45.12774507,-92.67105125
445,"Saint Anthony de Padua Catholic School","0196/3050",,"309 Mueller St","Athens","WI","54411-0909",,,"Athens","Report received",81,4,4,4,4,4,19,13,"81%","<5%","<5%","<5%","<5%","<5%","19%","13%",45.03285142,-90.07669789
446,"Saint Anthony Grade School","3206/3070",,"208 W Spring St","Loyal","WI","54446",,,"Loyal","Report received",96,4,4,4,4,4,4,4,">95%","<5%","<5%","<5%","<5%","<5%","<5%","<5%",44.73946506,-90.49764503
447,"Saint Anthony on the Lake School","1376/3140",,"W280N2101 Prospect Ave","Pewaukee","WI","53072-5261",,,"Kettle Moraine","Report received",96,4,4,4,4,4,4,4,">95%","<5%","<5%","<5%","<5%","<5%","<5%","<5%",43.058436,-88.30569974
448,"Saint Anthony School","4074/3120",,"253 N Franklin St","Oconto Falls","WI","54154-1042",,,"Oconto Falls Public","Report received",82,8,4,4,4,4,5,7,"82%","8%","<5%","<5%","<5%","<5%","5%","7%",44.87714429,-88.14438086
449,"Saint Anthony School","3619/3100",,"1727 S 9th Street","Milwaukee","WI","53204",,,"Milwaukee","Report received",93,4,4,4,4,4,4,4,"93%","<5%","<5%","<5%","<5%","<5%","<5%","<5%",43.01165803,-87.9230696
450,"Saint Augustine Preparatory Academy","3619/1745",,"2607 S 5th St","Milwaukee","WI","53207-1418",,,"Milwaukee","No report received",-6,-6,-6,-6,-6,-6,-6,-6,"No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received",42.99739802,-87.91737057
451,"Saint Augustine School","2570/1997",,"4908 Monches Rd","Colgate","WI","53017",,,"Holy Hill Area","Report received",44,4,4,4,4,37,21,34,"44%","<5%","<5%","<5%","<5%","37%","21%","34%",43.20822474,-88.28178375
452,"Saint Bernard Grade School","6125/3280",,"111 S Montgomery St","Watertown","WI","53094-4298",,,"Watertown Unified","Report received",88,8,4,4,4,4,4,4,"88%","8%","<5%","<5%","<5%","<5%","<5%","<5%",43.19450199,-88.72938288
453,"Saint Bernard Grade School-GRACE","2289/3250",,"2020 Hillside Ln","Green Bay","WI","54302-4055",,,"Green Bay Area Public","Report received",96,4,4,4,4,4,4,4,">95%","<5%","<5%","<5%","<5%","<5%","<5%","<5%",44.49387124,-87.97258377
454,"Saint Boniface Grade School","0154/3340",,"S2026 County Road U","Waumandee","WI","54622",,,"Arcadia","Report received",96,4,4,4,4,4,4,4,">95%","<5%","<5%","<5%","<5%","<5%","<5%","<5%",44.30148388,-91.70726234
455,"Saint Boniface Grade School","2058/3317",,"W204N11968 Goldendale Rd","Germantown","WI","53022-2398",,,"Germantown","No report received",-6,-6,-6,-6,-6,-6,-6,-6,"No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received",43.2350802,-88.16216851
456,"Saint Bridget Parish School","4893/3370",,"135 E Division St","River Falls","WI","54022-1528",,,"River Falls","Report received",89,4,4,4,11,4,7,4,"89%","<5%","<5%","<5%","11%","<5%","7%","<5%",44.86303305,-92.62317319
457,"Saint Bruno Parish School","1376/3375",,"246 W Ottawa Ave","Dousman","WI","53118-9333",,,"Kettle Moraine","No report received",-6,-6,-6,-6,-6,-6,-6,-6,"No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received",43.01120999,-88.47818477
458,"Saint Catherine School","3619/3410",,"2647 N 51st St","Milwaukee","WI","53210-2399",,,"Milwaukee","Report received",89,7,4,4,4,4,4,4,"89%","7%","<5%","<5%","<5%","<5%","<5%","<5%",43.06711803,-87.97800965
459,"Saint Charles Borromeo Catholic School","3619/3455",,"3100 W Parnell Ave","Milwaukee","WI","53221-4047",,,"Milwaukee","Report received",92,4,4,4,4,4,4,4,"92%","<5%","<5%","<5%","<5%","<5%","<5%","<5%",42.94264499,-87.95456561
460,"Saint Charles Borromeo Primary School","1092/3450",,"429 W Spruce St","Chippewa Falls","WI","54729-1737",,,"Chippewa Falls Area Unified","Report received",76,4,4,4,4,4,10,5,"76%","<5%","<5%","<5%","<5%","<5%","10%","5%",44.93835889,-91.40412467
461,"Saint Charles Education Center","3619/1781",,"151 S 84th St","Milwaukee","WI","53214-1456",,,"Milwaukee","No report received",-6,-6,-6,-6,-6,-6,-6,-6,"No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received",43.03044401,-88.01885064
462,"Saint Charles Grade School","0994/3500",,"521 E Dewey St","Cassville","WI","53806",,,"Cassville","Report received, <10 students",-9,-9,-9,-9,-9,-9,-9,-9,"No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data",42.71273816,-90.98463439
463,"Saint Charles School","1421/3520",,"707 Eagle St","Genoa","WI","54632",,,"De Soto Area","No report received",-6,-6,-6,-6,-6,-6,-6,-6,"No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received",43.57325392,-91.22475258
464,"Saint Clare Catholic School","6734/7040",,"425 Main St","Wrightstown","WI","54180",,,"Wrightstown Community","Report received",94,4,4,4,4,4,4,4,"94%","<5%","<5%","<5%","<5%","<5%","<5%","<5%",44.3289402,-88.16481882
465,"Saint Clement School","2912/3570",,"330 W Maple St","Lancaster","WI","53813-1600",,,"Lancaster Community","Report received",90,4,4,4,4,4,8,4,"90%","<5%","<5%","<5%","<5%","<5%","8%","<5%",42.84770597,-90.71256224
466,"Saint Coletta Day School","3619/3580",,"1740 N 55th St","Milwaukee","WI","53208-1664",,,"Milwaukee","No report received",-6,-6,-6,-6,-6,-6,-6,-6,"No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received",43.05369202,-87.98152963
467,"Saint Dennis Grade School","3269/3600",,"409 Dempsey Rd","Madison","WI","53714-3095",,,"Madison Metropolitan","Report received",96,4,4,4,4,4,4,4,">95%","<5%","<5%","<5%","<5%","<5%","<5%","<5%",43.08990094,-89.31501404
468,"Saint Dominic Catholic Grade School","0714/3610",,"18105 W Capitol Dr","Brookfield","WI","53045-1425",,,"Elmbrook","No report received",-6,-6,-6,-6,-6,-6,-6,-6,"No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received",43.089361,-88.13826062
469,"Saint Edward School","2583/3625",,"N2944 State Road 47","Appleton","WI","54913-9564",,,"Hortonville Area","Report received",96,4,4,4,4,4,4,4,">95%","<5%","<5%","<5%","<5%","<5%","<5%","<5%",44.34488919,-88.41440288
470,"Saint Elizabeth Ann Seton Catholic School","5271/1130",,"814 Superior Ave","Sheboygan","WI","53081-3443",,,"Sheboygan Area","No report received",-6,-6,-6,-6,-6,-6,-6,-6,"No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received",43.76112914,-87.71342857
471,"Saint Eugene School","1890/3680",,"7600 N Port Washington Rd","Fox Point","WI","53217-3199",,,"Fox Point J2","Report received",65,10,21,4,4,4,4,4,"65%","10%","21%","<5%","<5%","<5%","<5%","<5%",43.15555803,-87.91043859
472,"Saint Frances Cabrini School","6307/3720",,"529 Hawthorn Dr","West Bend","WI","53095-4629",,,"West Bend","Report received",96,4,4,4,4,4,4,4,">95%","<5%","<5%","<5%","<5%","<5%","<5%","<5%",43.40774215,-88.18323452
473,"Saint Francis Borgia Grade School","1015/3730",,"1425 Covered Bridge Rd","Cedarburg","WI","53012",,,"Cedarburg","Report received",92,4,4,4,4,4,5,4,"92%","<5%","<5%","<5%","<5%","<5%","5%","<5%",43.32734608,-88.00717267
474,"Saint Francis Children's Center","2184/3734",,"6700 N Port Washington Rd","Milwaukee","WI","53217-3998",,,"Glendale-River Hills","Report received",96,4,4,4,4,4,4,4,">95%","<5%","<5%","<5%","<5%","<5%","<5%","<5%",43.14129143,-87.91204802
475,"Saint Francis de Sales Grade School","5474/3760",,"300 Oak St","Spooner","WI","54801-1400",,,"Spooner Area","Report received",87,4,4,4,4,4,10,4,"87%","<5%","<5%","<5%","<5%","<5%","10%","<5%",45.82663036,-91.89049147
476,"Saint Francis de Sales Parish School","2885/3750",,"130 W Main St","Lake Geneva","WI","53147-1996",,,"Lake Geneva J1","Report received",70,4,12,4,4,4,6,4,"70%","<5%","12%","<5%","<5%","<5%","6%","<5%",42.59118065,-88.4241435
477,"Saint Francis School","1659/3770",,"244 W Woodworth St","Ellsworth","WI","54011",,,"Ellsworth Community","Report received",77,4,4,4,4,4,20,4,"77%","<5%","<5%","<5%","<5%","<5%","20%","<5%",44.72887904,-92.48087909
478,"Saint Francis Solanus School","2478/3805",,"13885 W Mission Rd","Stone Lake","WI","54876-3099",,,"Hayward Community","No report received",-6,-6,-6,-6,-6,-6,-6,-6,"No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received",45.89034225,-91.38617093
479,"Saint Francis Xavier Catholic School","3500/7635",,"1708 E 10th St","Merrill","WI","54452-1664",,,"Merrill Area","Report received",86,8,4,4,4,4,4,4,"86%","8%","<5%","<5%","<5%","<5%","<5%","<5%",45.18909224,-89.67497437
480,"Saint Francis Xavier Grade School","3549/3820",,"2939 Thinnes St","Cross Plains","WI","53528-9541",,,"Middleton-Cross Plains Area","Report received",89,7,4,4,4,4,4,4,"89%","7%","<5%","<5%","<5%","<5%","<5%","<5%",43.11950095,-89.63495909
481,"Saint Gabriel Grade School","2570/4020",,"1200 Saint Gabriel Way","Hubertus","WI","53033-9492",,,"Holy Hill Area","Report received",95,5,4,4,4,4,4,4,"95%","5%","<5%","<5%","<5%","<5%","<5%","<5%",43.23085136,-88.25901104
482,"Saint Gabriel Grade School","3892/3870",,"900 Geiger St","Neenah","WI","54956-2397",,,"Neenah Joint","Report received",86,4,4,4,4,4,10,13,"86%","<5%","<5%","<5%","<5%","<5%","10%","13%",44.18602519,-88.48270987
483,"Saint Gregory the Great Parish School","3619/3935",,"3132 S 63rd St","Milwaukee","WI","53219-4113",,,"Milwaukee","Report received",88,4,8,4,4,4,4,4,"88%","<5%","8%","<5%","<5%","<5%","<5%","<5%",42.987501,-87.98958857
484,"Saint Henry Grade School","6125/4000",,"300 E Cady St","Watertown","WI","53094-3796",,,"Watertown Unified","Report received",91,4,4,4,4,4,4,4,"91%","<5%","<5%","<5%","<5%","<5%","<5%","<5%",43.19670999,-88.72141588
485,"Saint Ignatius of Loyola Catholic School","2758/0930",,"220 Doty St","Kaukauna","WI","54130-2188",,,"Kaukauna Area","Report received",46,4,4,26,4,16,4,38,"46%","<5%","<5%","26%","<5%","16%","<5%","38%",44.2844042,-88.27014886
486,"Saint Jacobi Lutheran School","6470/4070",,"8605 W Forest Home Ave","Greenfield","WI","53228-3419",,,"Whitnall","Report received",92,4,4,4,4,4,8,4,"92%","<5%","<5%","<5%","<5%","<5%","8%","<5%",42.955461,-88.02056063
487,"Saint James Grade School","1554/4160",,"2502 11th St","Eau Claire","WI","54703",,,"Eau Claire Area","No report received",-6,-6,-6,-6,-6,-6,-6,-6,"No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received",44.82462409,-91.52536684
488,"Saint James Grade School","3269/4120",,"1204 Saint James Ct","Madison","WI","53715-1389",,,"Madison Metropolitan","No report received",-6,-6,-6,-6,-6,-6,-6,-6,"No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received",43.06614293,-89.40564306
489,"Saint James Lutheran School","5264/4155",,"324 S Andrews St","Shawano","WI","54166-2406",,,"Shawano","Report received",86,4,4,4,4,4,4,4,"86%","<5%","<5%","<5%","<5%","<5%","<5%","<5%",44.77751527,-88.60485701
490,"Saint Jerome Parish School","4060/4180",,"1001 S Silver Lake St","Oconomowoc","WI","53066-4267",,,"Oconomowoc Area","No report received",-6,-6,-6,-6,-6,-6,-6,-6,"No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received",43.09705398,-88.49309074
491,"Saint Jerome Parochial Grade School","1183/4190",,"1550 Farnham St","Columbus","WI","53925-1879",,,"Columbus","Report received",95,5,4,4,4,4,4,4,"95%","5%","<5%","<5%","<5%","<5%","<5%","<5%",43.32356402,-89.02091697
492,"Saint Joan Antida High School","3619/4210",,"1341 N Cass St","Milwaukee","WI","53202-2796",,,"Milwaukee","Report received",82,4,13,4,4,4,4,4,"82%","<5%","13%","<5%","<5%","<5%","<5%","<5%",43.04778903,-87.90298555
493,"Saint Joan of Arc School","3862/4250",,"120 Nashotah Rd","Nashotah","WI","53058",,,"Lake Country","Report received",77,4,4,4,4,4,21,12,"77%","<5%","<5%","<5%","<5%","<5%","21%","12%",43.09285699,-88.41454977
