"OBJECTID","SCHOOL","DIST_SCHL","DISTSCHL","ADDRESS","CITY","STATE","ZIP","MAIL_CITY","MAIL_ST","DISTRICT","COMMENT","WebAllPercentMinReq","WebAllPercentInProcess","WebAllPercentBehindSchedule","WebAllPercentNoRecord","WebAllPercentHealth","WebAllPercentRelig","WebAllPercentPers","WebAllPercentNoShots","WebAllPercentMinReq_TXT","WebAllPercentInProcess_TXT","WebAllPercentBehindSchedule_TXT","WebAllPercentNoRecord_TXT","WebAllPercentHealth_TXT","WebAllPercentRelig_TXT","WebAllPercentPers_TXT","WebAllPercentNoShots_TXT","LAT","LON"
11,"All Nations Academy","3269/1884",,"4301 Mandrake Rd","Madison","WI","53704",,,"Madison Metropolitan","No report received",-6,-6,-6,-6,-6,-6,-6,-6,"No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received",43.14128998,-89.37762303
12,"All Saints Catholic School","2793/1624",,"4400 22nd Ave","Kenosha","WI","53140",,,"Kenosha","No report received",-6,-6,-6,-6,-6,-6,-6,-6,"No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received",42.59627394,-87.83618155
13,"All Saints Catholic School","0140/4700",,"419 6th Ave","Antigo","WI","54409-2104",,,"Antigo Unified","Report received",92,4,4,4,4,4,4,4,"92%","<5%","<5%","<5%","<5%","<5%","<5%","<5%",45.1383393,-89.14754421
14,"All Saints Catholic School","0434/0133",,"151 S Grove St","Berlin","WI","54923-1725",,,"Berlin Area","No report received",-6,-6,-6,-6,-6,-6,-6,-6,"No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received",43.96699213,-88.95597797
15,"All Saints Grade School","1407/1294",,"145 N St Claude St","Denmark","WI","54208",,,"Denmark","Report received",89,4,4,4,4,4,7,4,"89%","<5%","<5%","<5%","<5%","<5%","7%","<5%",44.34876421,-87.83522019
16,"Ambleside School of Ashland","0170/1893",,"400 Salem Dr","Ashland","WI","54806",,,"Ashland","No report received",-6,-6,-6,-6,-6,-6,-6,-6,"No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received",46.57271941,-90.87272088
17,"Amish Parochial Schools","2226/0057",,"N6302 Sandhill Ave","Chili","WI","54420-9134",,,"Granton Area","No report received",-6,-6,-6,-6,-6,-6,-6,-6,"No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received",44.64943212,-90.39510347
18,"Anderson Campbell Educational Institute","2289/1902",,"520 S Oakland Ave","Green Bay","WI",,,,"Green Bay Area Public","No report received",-6,-6,-6,-6,-6,-6,-6,-6,"No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received",44.51312024,-88.03014877
19,"Aquinas Academy","3437/0857",,"N72W15935 Good Hope Rd","Menomonee Falls","WI","53051-4549",,,"Menomonee Falls","Report received",50,4,4,4,4,20,24,14,"50%","<5%","<5%","<5%","<5%","20%","24%","14%",43.14786603,-88.10855666
20,"Aquinas High","2849/0071",,"315 11th St S","La Crosse","WI","54601-8801",,,"La Crosse","No report received",-6,-6,-6,-6,-6,-6,-6,-6,"No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received",43.80816496,-91.23997164
21,"Aquinas Middle","2849/0070",,"315 11th St S","La Crosse","WI","54601-8801",,,"La Crosse","No report received",-6,-6,-6,-6,-6,-6,-6,-6,"No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received",43.80816496,-91.23997164
22,"Ascension Academy, Inc","1260/1894",,"825 8th Ave","Cumberland","WI","54828",,,"Cumberland","No report received",-6,-6,-6,-6,-6,-6,-6,-6,"No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received",45.52516917,-92.03228505
23,"Assumption Catholic School","1499/6300",,"901 W Prospect St","Durand","WI","54736-1093",,,"Durand-Arkansaw","Report received",87,4,4,4,4,4,4,4,"87%","<5%","<5%","<5%","<5%","<5%","<5%","<5%",44.62245752,-91.97144643
24,"Assumption High School","6685/1307",,"445 Chestnut St","Wisconsin Rapids","WI","54494-4894",,,"Wisconsin Rapids","Report received",96,4,4,4,4,4,4,4,">95%","<5%","<5%","<5%","<5%","<5%","<5%","<5%",44.38438414,-89.82548129
25,"Assumption Middle School","6685/1198",,"440 Mead St","Wisconsin Rapids","WI","54494",,,"Wisconsin Rapids","Report received",22,4,4,4,4,4,4,4,"22%","<5%","<5%","<5%","<5%","<5%","<5%","<5%",44.38438414,-89.82548129
26,"Assumption of the Blessed Virgin Mary School","4613/0090",,"109 E Pulaski St","Pulaski","WI","54162-9287",,,"Pulaski Community","Report received",83,4,4,4,4,4,14,8,"83%","<5%","<5%","<5%","<5%","<5%","14%","8%",44.67344527,-88.24200087
27,"Atlas Preparatory Academy, Inc.","3619/1263",,"1039 E Russell Ave","Milwaukee","WI","53207-1820",,,"Milwaukee","Report received",72,17,11,4,4,4,4,4,"72%","17%","11%","<5%","<5%","<5%","<5%","<5%",42.99616203,-87.89556857
28,"Atlas Preparatory Academy, Inc.","3619/1263",,"1039 E Russell Ave","Milwaukee","WI","53207-1820",,,"Milwaukee","Report received",81,5,5,4,4,4,4,4,"81%","5%","5%","<5%","<5%","<5%","<5%","<5%",42.99616203,-87.89556857
29,"Atonement Lutheran School","3619/1301",,"4224 W Ruby Ave","Milwaukee","WI","53209-5850",,,"Milwaukee","No report received",-6,-6,-6,-6,-6,-6,-6,-6,"No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received",43.09924202,-87.9658066
30,"Augusta Mennonite School","0217/0102",,"County Road GG","Augusta","WI","54722",,,"Augusta","Report received",73,4,4,4,4,4,27,22,"73%","<5%","<5%","<5%","<5%","<5%","27%","22%",44.74242271,-91.13896397
31,"Augustine Academy","3862/1738",,"1100 Highway 83","Hartland","WI","53029",,,"Lake Country","No report received",-6,-6,-6,-6,-6,-6,-6,-6,"No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received",43.063211,-88.36566172
32,"Ave Maria Academy","4459/1526",,"208 Church Rd","Plum City","WI","54761-9029",,,"Plum City","Report received",40,17,13,20,4,4,27,10,"40%","17%","13%","20%","<5%","<5%","27%","10%",44.62737604,-92.19377199
33,"Bader Hillel High, Inc.","2177/1791",,"2315 W Good Hope Rd","Glendale","WI","53209-2735",,,"Nicolet Union High School","No report received",-6,-6,-6,-6,-6,-6,-6,-6,"No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received",43.14681402,-87.94010659
34,"Badger State Baptist School","4018/0105",,"8519 S 13th St","Oak Creek","WI","53154",,,"Oak Creek-Franklin Joint","Report received",53,4,6,4,4,8,33,19,"53%","<5%","6%","<5%","<5%","8%","33%","19%",42.88995999,-87.93350456
35,"Baldwin Christian School","0231/0110",,"896 US Highway 63","Baldwin","WI","54002-3263",,,"Baldwin-Woodville Area","No report received",-6,-6,-6,-6,-6,-6,-6,-6,"No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received",44.99181205,-92.37563114
36,"Barron Christian School","0308/0115",,"1446 15th St","Barron","WI","54812-8705",,,"Barron Area","Report received",96,4,4,4,4,4,4,4,">95%","<5%","<5%","<5%","<5%","<5%","<5%","<5%",45.41551518,-91.848655
37,"Bay City Christian School","2289/0120",,"1840 Bond St","Green Bay","WI","54303-4604",,,"Green Bay Area Public","Report received",52,4,4,4,4,6,30,12,"52%","<5%","<5%","<5%","<5%","6%","30%","12%",44.54141327,-88.06665381
38,"Beautiful Savior Lutheran School","6174/1115",,"1205 S East Ave","Waukesha","WI","53186-6666",,,"Waukesha","Report received",83,4,4,4,4,6,4,4,"83%","<5%","<5%","<5%","<5%","6%","<5%","<5%",42.991162,-88.22637271
39,"Believers in Christ Christian Academy","3619/1303",,"4065 N 25th St","Milwaukee","WI","53209-6611",,,"Milwaukee","Report received",92,4,4,4,4,4,4,4,"92%","<5%","<5%","<5%","<5%","<5%","<5%","<5%",43.09130402,-87.94524361
40,"Berean Baptist Christian School","2009/0132",,"N20601 US Highway 53","Galesville","WI","54630-8636",,,"Galesville-Ettrick-Trempealeau","No report received",-6,-6,-6,-6,-6,-6,-6,-6,"No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received",44.13743802,-91.34027668
41,"Bethany Evangelical Lutheran School","3290/0135",,"3209 Meadow Ln","Manitowoc","WI","54220-3643",,,"Manitowoc","Report received",84,4,4,4,4,4,8,4,"84%","<5%","<5%","<5%","<5%","<5%","8%","<5%",44.09467622,-87.68811861
42,"Bethany Lutheran School","2625/0160",,"280 N Ridge St","Hustisford","WI","53034-0387",,,"Hustisford","No report received",-6,-6,-6,-6,-6,-6,-6,-6,"No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received","No Report Received",43.34904078,-88.60156573
43,"Bethel Christian School","1554/0166",,"2361 N Hastings Way","Eau Claire","WI","54703-1796",,,"Eau Claire Area","Report received",95,4,4,5,4,4,4,4,"95%","<5%","<5%","5%","<5%","<5%","<5%","<5%",44.84124708,-91.47191283
