"OBJECTID","Year","Survey_Type","Vaccine","Metric","Value_Percent","Enrollment"
415,"2021/2022","Child Care/Preschool","HepB","Nonmedical Exemption",2.2,92664
416,"2021/2022","Child Care/Preschool","MMR","In Process",1.1,92664
417,"2021/2022","Child Care/Preschool","Varicella","Medical Exemption",0.3,92664
418,"2022/2023","Kindergarten","HepB","Fully Immunized",90.7,63887
419,"2023/2024","Kindergarten","DTaP","Nonmedical Exemption",3.8,61748
420,"2024/2025","School","Varicella","Nonmedical Exemption",2.7,851736
421,"2025/2026","Child Care/Preschool","DTaP","Fully Immunized",91.8,97807
422,"2025/2026","School","Polio","In Process",0.2,849507
423,"2017/2018","Child Care/Preschool","Varicella","In Process",2,106593
424,"2017/2018","School","Polio","Medical Exemption",0.1,880843
425,"2018/2019","Child Care/Preschool","Polio","In Process",0.9,92382
426,"2018/2019","Kindergarten","HepB","Incomplete Record",2.8,64179
427,"2018/2019","Kindergarten","Varicella","Fully Immunized",86.5,64179
428,"2019/2020","School","MMR","In Process",0.1,899626
429,"2020/2021","Child Care/Preschool","HepB","Medical Exemption",0.2,82985
430,"2020/2021","Child Care/Preschool","HepB","Nonmedical Exemption",2.5,82985
431,"2020/2021","Child Care/Preschool","Polio","Nonmedical Exemption",2.3,82985
432,"2020/2021","School","DTaP","Incomplete Record",1.5,867411
433,"2021/2022","School","DTaP","Incomplete Record",2.2,866857
434,"2022/2023","Kindergarten","MMR","No Record",2.8,63887
435,"2022/2023","Kindergarten","Polio","In Process",0.5,63887
436,"2022/2023","School","Tdap","In Process",0,494743
437,"2023/2024","Child Care/Preschool","DTaP","Fully Immunized",93.1,90894
438,"2024/2025","School","Tdap","In Process",0.2,484896
439,"2024/2025","School","Varicella","In Process",0.3,851736
440,"2025/2026","Kindergarten","MMR","Fully Immunized",87.7,60049
441,"2025/2026","School","Tdap","No Record",1.6,478101
442,"2017/2018","Child Care/Preschool","HepB","Fully Immunized",93.1,106593
443,"2017/2018","Child Care/Preschool","Polio","Medical Exemption",0.1,106593
444,"2017/2018","School","MMR","Fully Immunized",94.5,880843
445,"2018/2019","School","Varicella","Incomplete Record",2.2,864485
446,"2019/2020","Child Care/Preschool","HepB","Nonmedical Exemption",3,108348
447,"2019/2020","Kindergarten","MMR","Incomplete Record",3,67876
448,"2020/2021","Kindergarten","HepB","Fully Immunized",93,61888
449,"2020/2021","Kindergarten","Polio","No Record",1.3,61888
450,"2020/2021","School","Varicella","Nonmedical Exemption",2.8,867411
451,"2021/2022","Child Care/Preschool","Polio","Fully Immunized",94.4,92664
452,"2024/2025","Child Care/Preschool","PCV","Medical Exemption",0.1,94156
453,"2024/2025","Kindergarten","HepB","Incomplete Record",2.7,60055
454,"2024/2025","School","DTaP","Fully Immunized",92.8,851736
455,"2024/2025","School","MMR","Incomplete Record",2.2,851736
456,"2025/2026","Child Care/Preschool","PCV","Fully Immunized",93,97807
457,"2025/2026","School","MMR","No Record",1.5,849507
458,"2017/2018","Kindergarten","Polio","Nonmedical Exemption",4.2,65718
459,"2018/2019","Child Care/Preschool","MMR","In Process",1.2,92382
460,"2018/2019","Kindergarten","Polio","In Process",0.6,64179
461,"2018/2019","School","Polio","Incomplete Record",1.9,864485
462,"2019/2020","Child Care/Preschool","MMR","Incomplete Record",0.8,108348
463,"2019/2020","Kindergarten","Polio","Nonmedical Exemption",4.5,67876
464,"2020/2021","Child Care/Preschool","Polio","Medical Exemption",0.2,82985
465,"2020/2021","Kindergarten",,"Summary Compliant",92.2,61888
466,"2020/2021","School","HepB","Fully Immunized",95.1,867411
467,"2022/2023","Child Care/Preschool","MMR","Incomplete Record",1.4,95552
468,"2022/2023","Kindergarten","DTaP","Fully Immunized",87,63887
469,"2023/2024","Child Care/Preschool","Varicella","Fully Immunized",93.7,90894
470,"2024/2025","Child Care/Preschool","DTaP","No Record",1,94156
471,"2024/2025","Child Care/Preschool","HepB","Incomplete Record",1.2,94156
472,"2024/2025","Kindergarten","DTaP","Nonmedical Exemption",3.9,60055
473,"2024/2025","School","HepB","In Process",0.2,851736
474,"2025/2026","Kindergarten",,"Summary Compliant",90.3,60049
475,"2025/2026","Kindergarten","MMR","In Process",0.4,60049
476,"2025/2026","Kindergarten","Polio","In Process",0.7,60049
477,"2025/2026","Kindergarten","Polio","Incomplete Record",5.3,60049
