"OBJECTID","Year","Survey_Type","Vaccine","Metric","Value_Percent","Enrollment"
721,"2023/2024","Child Care/Preschool","MMR","Medical Exemption",0.4,90894
722,"2023/2024","School","DTaP","In Process",0.2,853939
723,"2023/2024","School","MMR","In Process",0.2,853939
724,"2023/2024","School","MMR","Nonmedical Exemption",2.5,853939
725,"2023/2024","School","Varicella","Medical Exemption",0.2,853939
726,"2025/2026","Child Care/Preschool","Hib","In Process",1.4,97807
727,"2025/2026","Child Care/Preschool","PCV","Nonmedical Exemption",3.2,97807
728,"2025/2026","School","DTaP","Incomplete Record",2.5,849507
729,"2025/2026","School","Tdap","Nonmedical Exemption",2.8,478101
730,"2017/2018","Child Care/Preschool",,"Summary Compliant",95.1,106593
731,"2017/2018","Child Care/Preschool","Hib","No Record",0.7,106593
732,"2017/2018","Kindergarten","DTaP","In Process",0.9,65718
733,"2017/2018","Kindergarten","HepB","Fully Immunized",92.1,65718
734,"2017/2018","Kindergarten","Varicella","No Record",0.9,65718
735,"2017/2018","School","MMR","Incomplete Record",1.8,880843
736,"2019/2020","Child Care/Preschool","DTaP","Medical Exemption",0.2,108348
737,"2019/2020","Child Care/Preschool","MMR","In Process",1.3,108348
738,"2019/2020","School","HepB","Nonmedical Exemption",3,899626
739,"2019/2020","School","Varicella","Nonmedical Exemption",3.2,899626
740,"2020/2021","Child Care/Preschool","Hib","Nonmedical Exemption",2,82985
741,"2020/2021","Child Care/Preschool","MMR","Nonmedical Exemption",2.1,82985
742,"2020/2021","Kindergarten","DTaP","Fully Immunized",90.1,61888
743,"2020/2021","Kindergarten","DTaP","Nonmedical Exemption",3.8,61888
744,"2020/2021","School","Varicella","Incomplete Record",1.7,867411
745,"2021/2022","Child Care/Preschool",,"Summary Compliant",95.7,92664
746,"2021/2022","Child Care/Preschool","HepB","In Process",0.8,92664
747,"2021/2022","Child Care/Preschool","Varicella","Nonmedical Exemption",2.1,92664
748,"2021/2022","Kindergarten","HepB","Medical Exemption",0.1,65253
749,"2021/2022","School","Varicella","Fully Immunized",93.5,866857
750,"2022/2023","School","DTaP","Nonmedical Exemption",2.3,870984
751,"2023/2024","Child Care/Preschool","Polio","Nonmedical Exemption",2.6,90894
752,"2023/2024","Kindergarten","Polio","Medical Exemption",0.1,61748
753,"2024/2025","Kindergarten",,"Summary Compliant",90.1,60055
754,"2024/2025","Kindergarten","Varicella","Medical Exemption",0.2,60055
755,"2025/2026","Child Care/Preschool","MMR","Medical Exemption",0.3,97807
756,"2025/2026","Child Care/Preschool","Polio","Nonmedical Exemption",3.3,97807
757,"2017/2018","School","Varicella","Incomplete Record",2.6,880843
758,"2020/2021","Child Care/Preschool","Hib","No Record",2,82985
759,"2020/2021","Kindergarten","Varicella","No Record",1.3,61888
760,"2021/2022","Child Care/Preschool","MMR","No Record",0.8,92664
761,"2021/2022","School","DTaP","Fully Immunized",94.6,866857
762,"2022/2023","Child Care/Preschool","HepB","In Process",0.9,95552
763,"2022/2023","Child Care/Preschool","Varicella","Medical Exemption",0.2,95552
764,"2022/2023","Kindergarten","Varicella","Fully Immunized",85.7,63887
765,"2022/2023","School","Varicella","Incomplete Record",2.8,870984
766,"2022/2023","School","Varicella","Medical Exemption",0.2,870984
767,"2023/2024","Child Care/Preschool","HepB","Nonmedical Exemption",2.7,90894
768,"2023/2024","Kindergarten","DTaP","Medical Exemption",0.1,61748
769,"2025/2026","Child Care/Preschool","HepB","No Record",0.6,97807
770,"2025/2026","Child Care/Preschool","Hib","Fully Immunized",93.3,97807
771,"2025/2026","Kindergarten","Varicella","Incomplete Record",5.8,60049
772,"2017/2018","School","HepB","In Process",0.2,880843
773,"2018/2019","School","DTaP","No Record",1,864485
774,"2018/2019","School","Varicella","No Record",1,864485
775,"2021/2022","Kindergarten","Polio","In Process",0.5,65253
776,"2021/2022","School","Varicella","In Process",0.2,866857
777,"2022/2023","Child Care/Preschool","Hib","Nonmedical Exemption",2.3,95552
778,"2022/2023","Child Care/Preschool","PCV","Incomplete Record",1.6,95552
779,"2022/2023","School","Tdap","Nonmedical Exemption",0,494743
780,"2023/2024","Child Care/Preschool","Polio","Incomplete Record",1.4,90894
781,"2023/2024","Kindergarten","DTaP","In Process",0.6,61748
782,"2023/2024","School","MMR","Fully Immunized",93.6,853939
783,"2024/2025","School","Tdap","No Record",1.8,484896
784,"2017/2018","Child Care/Preschool","HepB","In Process",1.6,106593
785,"2017/2018","School","Polio","Incomplete Record",1.9,880843
786,"2019/2020","Child Care/Preschool","Hib","Nonmedical Exemption",2.3,108348
787,"2020/2021","Child Care/Preschool","MMR","Medical Exemption",0.2,82985
788,"2020/2021","Child Care/Preschool","PCV","Medical Exemption",0.1,82985
789,"2020/2021","School","MMR","In Process",0.1,867411
790,"2021/2022","Child Care/Preschool","Varicella","In Process",1.1,92664
791,"2021/2022","Kindergarten","Polio","Medical Exemption",0.1,65253
792,"2022/2023","School","Polio","In Process",0.2,870984
793,"2022/2023","School","Polio","Medical Exemption",0.1,870984
794,"2023/2024","School","MMR","Incomplete Record",2,853939
795,"2023/2024","School","Varicella","In Process",0.3,853939
796,"2024/2025","School","DTaP","Incomplete Record",2.6,851736
797,"2017/2018","Child Care/Preschool","DTaP","Medical Exemption",0.1,106593
798,"2017/2018","Child Care/Preschool","Hib","In Process",1.7,106593
799,"2019/2020","School","MMR","Incomplete Record",1.2,899626
800,"2020/2021","Child Care/Preschool","Polio","Incomplete Record",1.2,82985
801,"2020/2021","Kindergarten","Polio","Fully Immunized",89.8,61888
802,"2020/2021","School","MMR","Medical Exemption",0.1,867411
803,"2021/2022","Child Care/Preschool","DTaP","Medical Exemption",0.2,92664
804,"2021/2022","Child Care/Preschool","MMR","Nonmedical Exemption",1.9,92664
805,"2021/2022","Child Care/Preschool","PCV","In Process",0.8,92664
806,"2021/2022","School","MMR","Incomplete Record",2.5,866857
807,"2021/2022","School","Varicella","No Record",0.9,866857
808,"2022/2023","Child Care/Preschool","MMR","Fully Immunized",94.2,95552
809,"2022/2023","School",,"Summary Compliant",91.9,870984
810,"2023/2024","Child Care/Preschool","Polio","No Record",0.7,90894
811,"2023/2024","Kindergarten","DTaP","Incomplete Record",5.2,61748
812,"2023/2024","Kindergarten","DTaP","No Record",2.3,61748
813,"2023/2024","Kindergarten","MMR","No Record",2.3,61748
814,"2024/2025","Child Care/Preschool","Hib","Medical Exemption",0.1,94156
815,"2024/2025","Kindergarten","DTaP","Medical Exemption",0.1,60055
816,"2024/2025","Kindergarten","Varicella","No Record",2.4,60055
817,"2025/2026","Child Care/Preschool","Varicella","Medical Exemption",0.4,97807
818,"2025/2026","School","MMR","Incomplete Record",2.2,849507
819,"2025/2026","School","Varicella","Medical Exemption",0.3,849507
820,"2017/2018","Kindergarten","DTaP","Nonmedical Exemption",4,65718
821,"2017/2018","School","DTaP","No Record",0.6,880843
822,"2018/2019","Child Care/Preschool","HepB","Fully Immunized",93.4,92382
823,"2018/2019","Child Care/Preschool","Varicella","Medical Exemption",0.1,92382
824,"2018/2019","School","Tdap","Medical Exemption",0.1,470136
825,"2019/2020","School","Polio","Fully Immunized",94.7,899626
826,"2020/2021","Child Care/Preschool","DTaP","No Record",2,82985
827,"2020/2021","Kindergarten","MMR","In Process",0.3,61888
828,"2020/2021","School","HepB","No Record",0.7,867411
829,"2021/2022","Child Care/Preschool","Hib","Fully Immunized",94.5,92664
830,"2021/2022","Kindergarten","Polio","Fully Immunized",88.8,65253
831,"2021/2022","School","HepB","Incomplete Record",2.1,866857
832,"2022/2023","Child Care/Preschool","Hib","Incomplete Record",1.5,95552
833,"2022/2023","Child Care/Preschool","MMR","Nonmedical Exemption",2.1,95552
834,"2022/2023","Kindergarten","HepB","Medical Exemption",0.2,63887
835,"2023/2024","Child Care/Preschool","Hib","Incomplete Record",1.4,90894
836,"2023/2024","Kindergarten","Varicella","Nonmedical Exemption",4,61748
837,"2023/2024","School","DTaP","Nonmedical Exemption",2.5,853939
838,"2023/2024","School","HepB","Fully Immunized",93.5,853939
839,"2023/2024","School","Polio","No Record",1.5,853939
840,"2024/2025","School","Polio","Fully Immunized",92.9,851736
841,"2025/2026","Child Care/Preschool",,"Summary Compliant",95.9,97807
842,"2018/2019","Child Care/Preschool","DTaP","Nonmedical Exemption",2.5,92382
843,"2018/2019","Child Care/Preschool","PCV","No Record",1.1,92382
844,"2018/2019","Kindergarten","DTaP","No Record",1.7,64179
845,"2018/2019","Kindergarten","Polio","Incomplete Record",5.8,64179
846,"2019/2020","School","DTaP","Fully Immunized",95.7,899626
847,"2019/2020","School","Polio","Nonmedical Exemption",3,899626
848,"2020/2021","Child Care/Preschool","DTaP","Incomplete Record",1.6,82985
849,"2020/2021","School","HepB","Nonmedical Exemption",2.6,867411
850,"2021/2022","Kindergarten","DTaP","Nonmedical Exemption",2.9,65253
851,"2021/2022","Kindergarten","HepB","Nonmedical Exemption",2.8,65253
852,"2021/2022","School","DTaP","Nonmedical Exemption",1.9,866857
853,"2021/2022","School","HepB","Fully Immunized",94.7,866857
854,"2021/2022","School","Polio","Incomplete Record",2.5,866857
855,"2022/2023","Child Care/Preschool","Varicella","In Process",1.2,95552
856,"2022/2023","Kindergarten","MMR","In Process",0.5,63887
857,"2022/2023","Kindergarten","Polio","Medical Exemption",0.2,63887
858,"2022/2023","School","HepB","Medical Exemption",0.1,870984
859,"2023/2024","Kindergarten","MMR","Fully Immunized",88.2,61748
860,"2023/2024","Kindergarten","Polio","No Record",2.3,61748
861,"2023/2024","School","HepB","Nonmedical Exemption",2.5,853939
862,"2024/2025","Child Care/Preschool","PCV","Fully Immunized",93.4,94156
863,"2024/2025","Kindergarten","Polio","No Record",2.4,60055
864,"2024/2025","School","MMR","In Process",0.1,851736
865,"2024/2025","School","Varicella","Fully Immunized",92.2,851736
866,"2025/2026","Kindergarten","HepB","Incomplete Record",2.8,60049
867,"2025/2026","School","Polio","No Record",1.5,849507
868,"2017/2018","Child Care/Preschool","PCV","Fully Immunized",93.5,106593
869,"2017/2018","Child Care/Preschool","PCV","Nonmedical Exemption",2.4,106593
870,"2017/2018","Kindergarten",,"Summary Compliant",91.1,65718
871,"2017/2018","Kindergarten","HepB","Nonmedical Exemption",4,65718
872,"2019/2020","Kindergarten","DTaP","Medical Exemption",0.1,67876
873,"2020/2021","Child Care/Preschool","HepB","Incomplete Record",1.3,82985
874,"2020/2021","Child Care/Preschool","Hib","In Process",0.7,82985
875,"2020/2021","Child Care/Preschool","Polio","In Process",0.8,82985
876,"2020/2021","School","DTaP","Nonmedical Exemption",2.4,867411
877,"2020/2021","School","Varicella","Fully Immunized",94.4,867411
878,"2021/2022","Child Care/Preschool","DTaP","Nonmedical Exemption",2,92664
879,"2021/2022","Child Care/Preschool","MMR","Medical Exemption",0.2,92664
880,"2022/2023","Child Care/Preschool","HepB","Nonmedical Exemption",2.3,95552
881,"2022/2023","Child Care/Preschool","Hib","In Process",1.3,95552
882,"2022/2023","Child Care/Preschool","Hib","Medical Exemption",0.2,95552
883,"2022/2023","Child Care/Preschool","Polio","Nonmedical Exemption",2.1,95552
884,"2022/2023","School","Tdap","Fully Immunized",0,494743
885,"2022/2023","School","Varicella","In Process",0.2,870984
886,"2023/2024","Kindergarten","DTaP","Fully Immunized",87.8,61748
887,"2023/2024","Kindergarten","MMR","Medical Exemption",0.2,61748
888,"2023/2024","School","Varicella","Fully Immunized",92.5,853939
889,"2024/2025","Child Care/Preschool","Varicella","Nonmedical Exemption",3,94156
890,"2024/2025","Kindergarten","HepB","No Record",2.4,60055
891,"2024/2025","Kindergarten","MMR","Medical Exemption",0.2,60055
892,"2024/2025","School","Tdap","Incomplete Record",5.2,484896
893,"2025/2026","School","DTaP","Fully Immunized",92.9,849507
894,"2025/2026","School","Tdap","Fully Immunized",89.1,478101
895,"2017/2018","Kindergarten","DTaP","No Record",0.8,65718
896,"2018/2019","Child Care/Preschool","DTaP","Incomplete Record",1.7,92382
897,"2018/2019","Kindergarten","Varicella","No Record",2,64179
898,"2018/2019","Kindergarten","Varicella","Nonmedical Exemption",4.7,64179
899,"2018/2019","School","DTaP","In Process",0.2,864485
900,"2019/2020","Child Care/Preschool","DTaP","Incomplete Record",1.2,108348
901,"2019/2020","Kindergarten","HepB","Nonmedical Exemption",4.2,67876
902,"2019/2020","Kindergarten","Varicella","In Process",0.7,67876
903,"2019/2020","School","DTaP","In Process",0.2,899626
904,"2019/2020","School","DTaP","No Record",0.7,899626
905,"2020/2021","Child Care/Preschool","Varicella","Medical Exemption",0.2,82985
906,"2020/2021","Kindergarten","Polio","Medical Exemption",0.1,61888
907,"2021/2022","Child Care/Preschool","DTaP","Fully Immunized",93.8,92664
908,"2021/2022","School","Polio","Fully Immunized",94.3,866857
909,"2021/2022","School","Polio","Nonmedical Exemption",2,866857
910,"2022/2023","Child Care/Preschool","Hib","No Record",0.9,95552
911,"2022/2023","Child Care/Preschool","Polio","No Record",0.9,95552
912,"2022/2023","Kindergarten","DTaP","Nonmedical Exemption",3.8,63887
913,"2023/2024","School","DTaP","Fully Immunized",93.2,853939
914,"2024/2025","Child Care/Preschool","Hib","Fully Immunized",93.5,94156
915,"2024/2025","Kindergarten","MMR","In Process",0.4,60055
916,"2024/2025","Kindergarten","MMR","Nonmedical Exemption",4,60055
917,"2025/2026","Child Care/Preschool","Polio","Incomplete Record",1.2,97807
918,"2025/2026","Kindergarten","HepB","In Process",0.3,60049
919,"2017/2018","Child Care/Preschool","Polio","Fully Immunized",93.8,106593
920,"2017/2018","School","Polio","In Process",0.3,880843
921,"2017/2018","School","Tdap","In Process",0.4,490361
922,"2018/2019","Child Care/Preschool","DTaP","In Process",1.3,92382
923,"2018/2019","School","MMR","No Record",1,864485
924,"2019/2020","Child Care/Preschool","HepB","In Process",1.1,108348
925,"2019/2020","Child Care/Preschool","PCV","In Process",1.1,108348
926,"2019/2020","Child Care/Preschool","Varicella","No Record",0.8,108348
927,"2020/2021","Kindergarten","Varicella","Medical Exemption",0.2,61888
928,"2021/2022","Kindergarten","MMR","Fully Immunized",88.4,65253
929,"2021/2022","School","DTaP","In Process",0.2,866857
930,"2021/2022","School","Polio","Medical Exemption",0.2,866857
931,"2022/2023","Child Care/Preschool","DTaP","Medical Exemption",0.2,95552
932,"2022/2023","School","Varicella","Nonmedical Exemption",2.5,870984
933,"2023/2024","Kindergarten","HepB","In Process",0.3,61748
934,"2023/2024","School","DTaP","Medical Exemption",0.1,853939
935,"2023/2024","School","HepB","No Record",1.5,853939
936,"2024/2025","Child Care/Preschool",,"Summary Compliant",95.9,94156
937,"2024/2025","Child Care/Preschool","HepB","Medical Exemption",0.1,94156
938,"2024/2025","Child Care/Preschool","Polio","Fully Immunized",93.1,94156
939,"2024/2025","Child Care/Preschool","Polio","Incomplete Record",1.1,94156
940,"2024/2025","Kindergarten","MMR","Fully Immunized",88,60055
941,"2024/2025","Kindergarten","Polio","Nonmedical Exemption",3.9,60055
942,"2025/2026","Child Care/Preschool","HepB","In Process",1.2,97807
943,"2025/2026","Kindergarten","Polio","No Record",2.2,60049
944,"2018/2019","School","Tdap","Incomplete Record",4,470136
945,"2019/2020","Kindergarten","Polio","Medical Exemption",0.1,67876
946,"2019/2020","School","DTaP","Nonmedical Exemption",2.5,899626
947,"2019/2020","School","HepB","No Record",0.6,899626
948,"2019/2020","School","Tdap","Nonmedical Exemption",2.8,495607
949,"2020/2021","School","Tdap","Nonmedical Exemption",2.6,487860
950,"2021/2022","Child Care/Preschool","Polio","In Process",1,92664
951,"2022/2023","Child Care/Preschool","PCV","Nonmedical Exemption",2.1,95552
952,"2022/2023","Child Care/Preschool","Varicella","No Record",0.9,95552
953,"2023/2024","Child Care/Preschool","MMR","In Process",1.1,90894
954,"2023/2024","Child Care/Preschool","PCV","Medical Exemption",0.3,90894
955,"2024/2025","Child Care/Preschool","HepB","No Record",1,94156
956,"2024/2025","Child Care/Preschool","Polio","In Process",1.8,94156
957,"2024/2025","Kindergarten","MMR","Incomplete Record",5,60055
958,"2025/2026","Child Care/Preschool","PCV","No Record",0.6,97807
959,"2025/2026","Kindergarten","DTaP","Fully Immunized",86.9,60049
960,"2025/2026","School","HepB","Nonmedical Exemption",2.5,849507
961,"2017/2018","Child Care/Preschool","MMR","Medical Exemption",0.1,106593
962,"2017/2018","Child Care/Preschool","Polio","In Process",1.7,106593
963,"2018/2019","Child Care/Preschool","HepB","Medical Exemption",0.1,92382
964,"2018/2019","Child Care/Preschool","HepB","No Record",1,92382
965,"2018/2019","Kindergarten","HepB","In Process",0.4,64179
966,"2019/2020","Child Care/Preschool","PCV","Medical Exemption",0.1,108348
967,"2019/2020","Kindergarten","Varicella","Medical Exemption",0.2,67876
968,"2019/2020","School","Tdap","No Record",0.9,495607
969,"2020/2021","Child Care/Preschool","PCV","Nonmedical Exemption",2,82985
970,"2020/2021","Child Care/Preschool","Polio","Fully Immunized",93.5,82985
971,"2021/2022","Child Care/Preschool","Hib","Medical Exemption",0.2,92664
972,"2022/2023","School","DTaP","In Process",0.2,870984
973,"2023/2024","Child Care/Preschool","HepB","Incomplete Record",1.5,90894
974,"2024/2025","Child Care/Preschool","DTaP","Incomplete Record",1.6,94156
975,"2024/2025","Child Care/Preschool","Hib","In Process",1.2,94156
976,"2024/2025","Child Care/Preschool","MMR","Incomplete Record",1,94156
977,"2024/2025","Kindergarten","HepB","Nonmedical Exemption",3.2,60055
978,"2025/2026","Kindergarten","DTaP","In Process",0.8,60049
979,"2025/2026","Kindergarten","Polio","Nonmedical Exemption",4.4,60049
980,"2025/2026","School","MMR","In Process",0.1,849507
981,"2025/2026","School","Tdap","In Process",0.3,478101
982,"2018/2019","Child Care/Preschool","PCV","Fully Immunized",93.9,92382
983,"2018/2019","Child Care/Preschool","Polio","Incomplete Record",1.1,92382
984,"2018/2019","Kindergarten","MMR","Fully Immunized",87.4,64179
985,"2018/2019","School","MMR","In Process",0.1,864485
986,"2019/2020","Child Care/Preschool","DTaP","No Record",0.7,108348
987,"2019/2020","Child Care/Preschool","PCV","No Record",0.8,108348
988,"2019/2020","Child Care/Preschool","Varicella","Nonmedical Exemption",2.8,108348
989,"2019/2020","School","Polio","In Process",0.2,899626
990,"2020/2021","Kindergarten","DTaP","Incomplete Record",4.2,61888
991,"2021/2022","Child Care/Preschool","Hib","No Record",0.8,92664
992,"2021/2022","Kindergarten","HepB","No Record",1.5,65253
993,"2022/2023","Child Care/Preschool","DTaP","No Record",0.9,95552
994,"2022/2023","Child Care/Preschool","HepB","Incomplete Record",1.5,95552
995,"2022/2023","Child Care/Preschool","Hib","Fully Immunized",93.8,95552
996,"2022/2023","Kindergarten","MMR","Fully Immunized",86.8,63887
997,"2023/2024","Child Care/Preschool",,"Summary Compliant",96.1,90894
998,"2023/2024","Child Care/Preschool","DTaP","Nonmedical Exemption",2.6,90894
999,"2023/2024","Kindergarten","HepB","Incomplete Record",2.8,61748
1000,"2024/2025","Child Care/Preschool","DTaP","Fully Immunized",92.5,94156
1001,"2024/2025","Child Care/Preschool","Varicella","Fully Immunized",92.7,94156
1002,"2024/2025","Kindergarten","DTaP","No Record",2.4,60055
1003,"2024/2025","School","Tdap","Medical Exemption",0.1,484896
1004,"2025/2026","Child Care/Preschool","Hib","Medical Exemption",0.2,97807
1005,"2025/2026","Kindergarten","HepB","Fully Immunized",91.1,60049
