,,"Percent of Students with Conscientious Exemptions Filed by County and School Year -- Texas Annual Report of Immunization Status, Seventh Grade
(Percent of Students with a Conscientious Exemption to at Least One Vaccine)",,,,,,,,,,,,,,,,,
State,County,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,,,,,,,
TX,Total,0.88%,0.87%,0.90%,1.09%,1.24%,1.37%,1.52%,1.83%,1.81%,2.21%,2.80%,,,,,,,
,Anderson,0.50%,0.49%,0.49%,0.45%,0.77%,1.12%,0.51%,0.54%,1.91%,1.04%,2.61%,,,,,,,
,Andrews,0.33%,0.00%,1.54%,1.29%,1.59%,1.27%,1.92%,0.94%,2.47%,2.39%,1.92%,,,,,,,
,Angelina,0.47%,0.55%,0.59%,0.68%,0.97%,0.99%,1.68%,1.17%,1.89%,2.07%,3.28%,,,,,,,
,Aransas,1.19%,1.19%,2.23%,1.38%,0.51%,0.91%,0.46%,2.33%,NR**,2.41%,1.72%,,,,,,,
,Archer,0.00%,0.00%,0.70%,0.00%,1.80%,3.27%,2.00%,1.24%,1.20%,3.23%,5.10%,,,,,,,
,Armstrong,0.00%,0.00%,3.33%,0.00%,3.13%,0.00%,4.17%,0.00%,14.29%,4.17%,10.00%,,,,,,,
,Atascosa,0.28%,0.58%,0.16%,0.44%,0.60%,0.78%,1.02%,1.63%,0.86%,1.30%,1.79%,,,,,,,
,Austin,0.86%,0.89%,0.62%,0.88%,0.90%,1.58%,1.46%,2.40%,2.87%,3.90%,4.31%,,,,,,,
,Bailey,2.56%,0.00%,2.15%,0.00%,0.88%,0.91%,0.00%,0.00%,0.94%,1.20%,0.99%,,,,,,,
,Bandera,0.00%,0.00%,2.89%,3.70%,2.23%,1.42%,2.56%,2.99%,3.40%,2.56%,3.54%,,,,,,,
,Bastrop,1.33%,0.74%,1.69%,1.65%,1.44%,1.64%,1.77%,1.78%,1.61%,2.24%,2.81%,,,,,,,
,Baylor,2.27%,5.71%,2.17%,2.38%,0.00%,0.00%,0.00%,2.13%,0.00%,0.00%,2.33%,,,,,,,
,Bee,0.00%,0.00%,0.26%,0.00%,0.83%,1.01%,1.04%,0.24%,1.08%,1.43%,0.62%,,,,,,,
,Bell,0.68%,0.72%,0.80%,0.78%,0.95%,1.28%,1.63%,1.44%,1.68%,2.14%,2.82%,,,,,,,
,Bexar,0.46%,0.53%,0.66%,0.88%,0.90%,0.97%,1.12%,1.24%,1.23%,1.48%,2.13%,,,,,,,
,Blanco,1.57%,3.39%,1.74%,6.47%,1.99%,4.32%,4.17%,5.15%,6.21%,3.60%,10.64%,,,,,,,
,Borden,5.00%,0.00%,0.00%,0.00%,12.50%,13.64%,0.00%,10.00%,4.17%,16.67%,12.50%,,,,,,,
,Bosque,1.16%,0.00%,0.51%,1.49%,0.00%,0.48%,3.42%,0.78%,2.61%,2.05%,3.86%,,,,,,,
,Bowie,1.48%,1.31%,0.63%,1.83%,1.71%,1.64%,2.18%,1.84%,2.49%,2.43%,2.98%,,,,,,,
,Brazoria,0.83%,0.79%,0.64%,0.91%,1.14%,1.09%,1.27%,1.59%,1.57%,1.89%,2.41%,,,,,,,
,Brazos,0.41%,0.91%,0.61%,0.60%,0.57%,0.66%,1.01%,0.92%,0.72%,1.88%,1.97%,,,,,,,
,Brewster,0.00%,1.33%,0.93%,2.78%,0.00%,0.93%,0.00%,1.08%,3.37%,3.57%,13.33%,,,,,,,
,Briscoe,0.00%,7.69%,6.67%,0.00%,8.33%,0.00%,7.14%,0.00%,10.53%,10.00%,29.41%,,,,,,,
,Brooks,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
,Brown,1.13%,1.49%,0.80%,2.00%,1.25%,2.32%,2.40%,0.77%,2.07%,2.31%,3.42%,,,,,,,
,Burleson,0.00%,0.00%,0.00%,0.00%,1.30%,0.50%,0.88%,0.47%,1.36%,1.26%,0.83%,,,,,,,
,Burnet,1.19%,1.55%,1.82%,2.75%,4.28%,4.14%,3.99%,3.32%,4.40%,6.09%,6.56%,,,,,,,
