"Census","County","State","TotalPop4_18yrs","TotalExempt4_18yrs"
"Census Tract 330.12"," Pasco County"," Florida",283,"9"
"Census Tract 318.04"," Pasco County"," Florida",340,"17"
"Census Tract 320.09"," Pasco County"," Florida",1507,"73"
"Census Tract 320.10"," Pasco County"," Florida",719,"45"
"Census Tract 321.07"," Pasco County"," Florida",1132,"134"
"Census Tract 326.01"," Pasco County"," Florida",799,"21"
"Census Tract 330.08"," Pasco County"," Florida",269,"14"
"Census Tract 312.08"," Pasco County"," Florida",526,"50"
"Census Tract 316.02"," Pasco County"," Florida",1458,"88"
"Census Tract 317.01"," Pasco County"," Florida",378,"44"
"Census Tract 318.08"," Pasco County"," Florida",494,"33"
"Census Tract 319.01"," Pasco County"," Florida",468,"33"
"Census Tract 306.02"," Pasco County"," Florida",467,"14"
"Census Tract 309.03"," Pasco County"," Florida",473,"13"
"Census Tract 309.04"," Pasco County"," Florida",386,"15"
"Census Tract 309.05"," Pasco County"," Florida",564,"32"
"Census Tract 310.10"," Pasco County"," Florida",730,"34"
"Census Tract 310.11"," Pasco County"," Florida",431,"21"
"Census Tract 310.12"," Pasco County"," Florida",656,"27"
"Census Tract 310.13"," Pasco County"," Florida",593,"27"
"Census Tract 310.14"," Pasco County"," Florida",672,"29"
"Census Tract 312.03"," Pasco County"," Florida",185,"15"
"Census Tract 312.04"," Pasco County"," Florida",350,"14"
"Census Tract 312.05"," Pasco County"," Florida",571,"37"
"Census Tract 312.06"," Pasco County"," Florida",621,"47"
