"Census","County","State","TotalPop4_18yrs","TotalExempt4_18yrs"
"Census Tract 107.05"," Santa Rosa County"," Florida",627,45
"Census Tract 108.02"," Santa Rosa County"," Florida",863,67
"Census Tract 109"," Santa Rosa County"," Florida",1173,88
"Census Tract 102"," Santa Rosa County"," Florida",897,24
"Census Tract 104"," Santa Rosa County"," Florida",502,29
"Census Tract 106"," Santa Rosa County"," Florida",1242,38
"Census Tract 101"," Santa Rosa County"," Florida",788,39
"Census Tract 103"," Santa Rosa County"," Florida",2269,182
"Census Tract 105.02"," Santa Rosa County"," Florida",1451,84
"Census Tract 107.02"," Santa Rosa County"," Florida",1276,90
"Census Tract 107.06"," Santa Rosa County"," Florida",1565,86
"Census Tract 107.04"," Santa Rosa County"," Florida",1203,123
"Census Tract 108.09"," Santa Rosa County"," Florida",917,56
"Census Tract 107.08"," Santa Rosa County"," Florida",1209,72
"Census Tract 105.04"," Santa Rosa County"," Florida",844,79
"Census Tract 105.03"," Santa Rosa County"," Florida",1133,79
"Census Tract 108.15"," Santa Rosa County"," Florida",1394,144
"Census Tract 108.11"," Santa Rosa County"," Florida",3256,225
"Census Tract 108.13"," Santa Rosa County"," Florida",926,67
"Census Tract 108.19"," Santa Rosa County"," Florida",2445,223
"Census Tract 108.17"," Santa Rosa County"," Florida",841,67
"Census Tract 108.08"," Santa Rosa County"," Florida",985,36
"Census Tract 107.07"," Santa Rosa County"," Florida",975,29
"Census Tract 108.12"," Santa Rosa County"," Florida",1074,51
"Census Tract 108.14"," Santa Rosa County"," Florida",1171,76
