"Census","County","State","TotalPop4_18yrs","TotalExempt4_18yrs"
"Census Tract 120.02"," Polk County"," Florida",328,"9"
"Census Tract 109"," Polk County"," Florida",936,"22"
"Census Tract 143.01"," Polk County"," Florida",383,"<5"
"Census Tract 143.02"," Polk County"," Florida",1289,"58"
"Census Tract 142.01"," Polk County"," Florida",902,"53"
"Census Tract 144"," Polk County"," Florida",1126,"62"
"Census Tract 121.13"," Polk County"," Florida",1043,"60"
"Census Tract 154.01"," Polk County"," Florida",547,"21"
"Census Tract 155"," Polk County"," Florida",839,"16"
"Census Tract 131.01"," Polk County"," Florida",838,"26"
"Census Tract 129"," Polk County"," Florida",1021,"37"
"Census Tract 131.03"," Polk County"," Florida",191,"<5"
"Census Tract 132"," Polk County"," Florida",420,"9"
"Census Tract 141.23"," Polk County"," Florida",911,"45"
"Census Tract 112.04"," Polk County"," Florida",374,"<5"
"Census Tract 121.26"," Polk County"," Florida",500,"28"
"Census Tract 112.03"," Polk County"," Florida",1015,"26"
"Census Tract 115.02"," Polk County"," Florida",813,"56"
"Census Tract 115.01"," Polk County"," Florida",1212,"49"
"Census Tract 116.05"," Polk County"," Florida",403,"13"
"Census Tract 116.04"," Polk County"," Florida",846,"15"
"Census Tract 121.25"," Polk County"," Florida",706,"32"
"Census Tract 123.03"," Polk County"," Florida",784,"36"
"Census Tract 125.02"," Polk County"," Florida",1436,"81"
"Census Tract 124.05"," Polk County"," Florida",776,"85"
"Census Tract 125.06"," Polk County"," Florida",977,"89"
"Census Tract 128.02"," Polk County"," Florida",600,"34"
"Census Tract 128.03"," Polk County"," Florida",167,"15"
"Census Tract 128.04"," Polk County"," Florida",463,"36"
"Census Tract 141.24"," Polk County"," Florida",335,"8"
"Census Tract 130.02"," Polk County"," Florida",815,"24"
"Census Tract 124.09"," Polk County"," Florida",477,"15"
"Census Tract 130.01"," Polk County"," Florida",710,"43"
"Census Tract 141.05"," Polk County"," Florida",1442,"71"
"Census Tract 124.07"," Polk County"," Florida",222,"9"
"Census Tract 141.04"," Polk County"," Florida",57,"38"
"Census Tract 151.02"," Polk County"," Florida",442,"18"
"Census Tract 160.03"," Polk County"," Florida",537,"6"
"Census Tract 141.03"," Polk County"," Florida",2494,"182"
"Census Tract 154.05"," Polk County"," Florida",549,"18"
"Census Tract 9800"," Polk County"," Florida",1,"0"
