"Census","County","State","TotalPop4_18yrs","TotalExempt4_18yrs"
"Census Tract 178.05"," Orange County"," Florida",599,"24"
"Census Tract 178.06"," Orange County"," Florida",947,"56"
"Census Tract 175.03"," Orange County"," Florida",1434,"50"
"Census Tract 171.04"," Orange County"," Florida",5869,"401"
"Census Tract 176"," Orange County"," Florida",1215,"32"
"Census Tract 171.05"," Orange County"," Florida",2912,"299"
"Census Tract 154.02"," Orange County"," Florida",238,"25"
"Census Tract 134.02"," Orange County"," Florida",606,"18"
"Census Tract 177.03"," Orange County"," Florida",887,"37"
"Census Tract 148.08"," Orange County"," Florida",2790,"103"
"Census Tract 151.05"," Orange County"," Florida",808,"18"
"Census Tract 152.01"," Orange County"," Florida",944,"69"
"Census Tract 136.04"," Orange County"," Florida",800,"37"
"Census Tract 165.04"," Orange County"," Florida",814,"24"
"Census Tract 150.03"," Orange County"," Florida",1441,"31"
"Census Tract 124.03"," Orange County"," Florida",983,"41"
"Census Tract 150.02"," Orange County"," Florida",1217,"35"
"Census Tract 170.01"," Orange County"," Florida",615,"32"
"Census Tract 150.04"," Orange County"," Florida",1975,"71"
"Census Tract 149.06"," Orange County"," Florida",1097,"52"
"Census Tract 175.04"," Orange County"," Florida",1631,"69"
"Census Tract 143.01"," Orange County"," Florida",808,"23"
"Census Tract 147.04"," Orange County"," Florida",1608,"109"
"Census Tract 122.02"," Orange County"," Florida",1117,"32"
"Census Tract 121"," Orange County"," Florida",1376,"45"
"Census Tract 162"," Orange County"," Florida",1024,"82"
"Census Tract 152.02"," Orange County"," Florida",1216,"48"
"Census Tract 147.01"," Orange County"," Florida",1153,"36"
"Census Tract 146.05"," Orange County"," Florida",974,"21"
"Census Tract 139"," Orange County"," Florida",601,"45"
"Census Tract 117.02"," Orange County"," Florida",1009,"25"
"Census Tract 135.07"," Orange County"," Florida",1040,"58"
"Census Tract 146.06"," Orange County"," Florida",1089,"39"
"Census Tract 116"," Orange County"," Florida",767,"16"
"Census Tract 168.04"," Orange County"," Florida",1214,"44"
"Census Tract 143.02"," Orange County"," Florida",1160,"25"
"Census Tract 169.04"," Orange County"," Florida",1027,"19"
"Census Tract 155.01"," Orange County"," Florida",976,"52"
"Census Tract 156.01"," Orange County"," Florida",512,"39"
"Census Tract 164.07"," Orange County"," Florida",711,"39"
"Census Tract 127.01"," Orange County"," Florida",560,"53"
"Census Tract 164.10"," Orange County"," Florida",1345,"51"
"Census Tract 159.02"," Orange County"," Florida",137,"18"
"Census Tract 159.01"," Orange County"," Florida",263,"12"
"Census Tract 160.01"," Orange County"," Florida",210,"10"
"Census Tract 188"," Orange County"," Florida",213,"26"
"Census Tract 161"," Orange County"," Florida",708,"21"
"Census Tract 108.02"," Orange County"," Florida",276,"15"
"Census Tract 167.14"," Orange County"," Florida",619,"30"
"Census Tract 156.02"," Orange County"," Florida",603,"27"
"Census Tract 157.02"," Orange County"," Florida",388,"31"
"Census Tract 158.02"," Orange County"," Florida",548,"30"
"Census Tract 160.02"," Orange County"," Florida",474,"26"
"Census Tract 129"," Orange County"," Florida",384,"42"
"Census Tract 163.02"," Orange County"," Florida",660,"35"
"Census Tract 164.06"," Orange County"," Florida",222,"9"
"Census Tract 102"," Orange County"," Florida",225,"24"
"Census Tract 104"," Orange County"," Florida",336,"22"
"Census Tract 105"," Orange County"," Florida",200,"8"
"Census Tract 103"," Orange County"," Florida",189,"19"
"Census Tract 110"," Orange County"," Florida",404,"20"
"Census Tract 111"," Orange County"," Florida",366,"28"
"Census Tract 112"," Orange County"," Florida",403,"37"
"Census Tract 138.01"," Orange County"," Florida",485,"16"
"Census Tract 135.03"," Orange County"," Florida",419,"14"
"Census Tract 135.05"," Orange County"," Florida",701,"13"
"Census Tract 148.13"," Orange County"," Florida",610,"71"
"Census Tract 170.06"," Orange County"," Florida",926,"26"
"Census Tract 170.08"," Orange County"," Florida",1699,"69"
"Census Tract 170.11"," Orange County"," Florida",1272,"43"
"Census Tract 164.08"," Orange County"," Florida",319,"23"
"Census Tract 165.08"," Orange County"," Florida",1355,"39"
"Census Tract 167.10"," Orange County"," Florida",924,"29"
"Census Tract 167.16"," Orange County"," Florida",1005,"51"
"Census Tract 167.17"," Orange County"," Florida",601,"31"
"Census Tract 189"," Orange County"," Florida",658,"78"
"Census Tract 182"," Orange County"," Florida",1704,"112"
"Census Tract 137.01"," Orange County"," Florida",601,"36"
"Census Tract 132.02"," Orange County"," Florida",1037,"31"
"Census Tract 134.06"," Orange County"," Florida",615,"15"
