"Census","County","State","TotalPop4_18yrs","TotalExempt4_18yrs"
"Census Tract 9512"," Putnam County"," Florida",895,29
"Census Tract 9514.01"," Putnam County"," Florida",711,12
"Census Tract 9504"," Putnam County"," Florida",453,23
"Census Tract 9505"," Putnam County"," Florida",1346,37
"Census Tract 9507"," Putnam County"," Florida",971,9
"Census Tract 9503"," Putnam County"," Florida",1182,64
"Census Tract 9506"," Putnam County"," Florida",1211,27
"Census Tract 9502.02"," Putnam County"," Florida",745,34
"Census Tract 9510"," Putnam County"," Florida",602,24
"Census Tract 9509"," Putnam County"," Florida",1339,17
"Census Tract 9508"," Putnam County"," Florida",759,12
"Census Tract 9513"," Putnam County"," Florida",575,28
"Census Tract 9502.01"," Putnam County"," Florida",1022,29
"Census Tract 9501"," Putnam County"," Florida",803,23
"Census Tract 9514.02"," Putnam County"," Florida",768,11
"Census Tract 9511"," Putnam County"," Florida",733,20
"Census Tract 9800"," Putnam County"," Florida",0,0
