"Census","County","State","TotalPop4_18yrs","TotalExempt4_18yrs"
"Census Tract 411.04"," Hernando County"," Florida",413,"43"
"Census Tract 412.04"," Hernando County"," Florida",529,"28"
"Census Tract 407.02"," Hernando County"," Florida",962,"42"
"Census Tract 402.02"," Hernando County"," Florida",1193,"102"
"Census Tract 415.02"," Hernando County"," Florida",569,"34"
"Census Tract 9900"," Hernando County"," Florida",0,"0"
"Census Tract 414.02"," Hernando County"," Florida",932,"47"
"Census Tract 407.01"," Hernando County"," Florida",1251,"132"
"Census Tract 404"," Hernando County"," Florida",505,"29"
"Census Tract 412.01"," Hernando County"," Florida",608,"55"
"Census Tract 414.01"," Hernando County"," Florida",1173,"68"
"Census Tract 409.01"," Hernando County"," Florida",944,"57"
"Census Tract 401.01"," Hernando County"," Florida",789,"51"
"Census Tract 401.02"," Hernando County"," Florida",330,"22"
"Census Tract 402.01"," Hernando County"," Florida",462,"51"
"Census Tract 406.01"," Hernando County"," Florida",450,"38"
"Census Tract 406.02"," Hernando County"," Florida",569,"34"
"Census Tract 405.02"," Hernando County"," Florida",560,"36"
"Census Tract 409.10"," Hernando County"," Florida",695,"57"
"Census Tract 408.02"," Hernando County"," Florida",379,"18"
"Census Tract 409.09"," Hernando County"," Florida",959,"69"
"Census Tract 409.11"," Hernando County"," Florida",643,"80"
"Census Tract 405.01"," Hernando County"," Florida",631,"43"
"Census Tract 416"," Hernando County"," Florida",494,"35"
"Census Tract 409.08"," Hernando County"," Florida",1403,"101"
"Census Tract 410.05"," Hernando County"," Florida",465,"40"
"Census Tract 411.05"," Hernando County"," Florida",762,"45"
"Census Tract 411.03"," Hernando County"," Florida",710,"38"
"Census Tract 409.06"," Hernando County"," Florida",1283,"100"
"Census Tract 409.05"," Hernando County"," Florida",824,"39"
"Census Tract 409.07"," Hernando County"," Florida",461,"45"
"Census Tract 410.03"," Hernando County"," Florida",666,"28"
"Census Tract 410.04"," Hernando County"," Florida",1383,"78"
"Census Tract 413.02"," Hernando County"," Florida",514,"38"
"Census Tract 415.01"," Hernando County"," Florida",385,"27"
"Census Tract 413.05"," Hernando County"," Florida",25,"0"
"Census Tract 412.03"," Hernando County"," Florida",614,"52"
"Census Tract 413.03"," Hernando County"," Florida",45,"<5"
"Census Tract 413.04"," Hernando County"," Florida",62,"<5"
"Census Tract 403.03"," Hernando County"," Florida",426,"49"
"Census Tract 403.01"," Hernando County"," Florida",295,"19"
"Census Tract 403.02"," Hernando County"," Florida",702,"53"
"Census Tract 408.01"," Hernando County"," Florida",352,"7"
"Census Tract 410.06"," Hernando County"," Florida",1291,"66"
"Census Tract 411.06"," Hernando County"," Florida",687,"42"
