"Census","County","State","TotalPop4_18yrs","TotalExempt4_18yrs"
"Census Tract 416"," Osceola County"," Florida",704,"41"
"Census Tract 415"," Osceola County"," Florida",3152,"215"
"Census Tract 424"," Osceola County"," Florida",1430,"64"
"Census Tract 423"," Osceola County"," Florida",1379,"62"
"Census Tract 411"," Osceola County"," Florida",4797,"178"
"Census Tract 418"," Osceola County"," Florida",658,"31"
"Census Tract 419"," Osceola County"," Florida",1229,"54"
"Census Tract 431"," Osceola County"," Florida",660,"52"
"Census Tract 437"," Osceola County"," Florida",1155,"121"
"Census Tract 436"," Osceola County"," Florida",1470,"126"
"Census Tract 434"," Osceola County"," Florida",850,"60"
"Census Tract 438"," Osceola County"," Florida",1612,"122"
"Census Tract 435"," Osceola County"," Florida",855,"75"
"Census Tract 421"," Osceola County"," Florida",1993,"92"
"Census Tract 420"," Osceola County"," Florida",1232,"70"
"Census Tract 417"," Osceola County"," Florida",991,"44"
"Census Tract 413"," Osceola County"," Florida",3561,"135"
"Census Tract 422"," Osceola County"," Florida",1650,"94"
"Census Tract 425"," Osceola County"," Florida",1492,"68"
"Census Tract 428"," Osceola County"," Florida",2152,"169"
"Census Tract 429"," Osceola County"," Florida",3703,"198"
"Census Tract 408.02"," Osceola County"," Florida",1126,"199"
"Census Tract 409.02"," Osceola County"," Florida",1265,"121"
"Census Tract 408.04"," Osceola County"," Florida",588,"71"
"Census Tract 410.02"," Osceola County"," Florida",2093,"156"
"Census Tract 432.04"," Osceola County"," Florida",3217,"226"
"Census Tract 433.02"," Osceola County"," Florida",2789,"201"
"Census Tract 432.06"," Osceola County"," Florida",92,"6"
"Census Tract 427.02"," Osceola County"," Florida",1327,"48"
"Census Tract 427.01"," Osceola County"," Florida",1860,"81"
"Census Tract 426.02"," Osceola County"," Florida",2384,"79"
"Census Tract 426.01"," Osceola County"," Florida",756,"36"
"Census Tract 433.01"," Osceola County"," Florida",264,"22"
"Census Tract 432.05"," Osceola County"," Florida",389,"13"
"Census Tract 410.01"," Osceola County"," Florida",1950,"113"
"Census Tract 409.01"," Osceola County"," Florida",847,"57"
"Census Tract 408.01"," Osceola County"," Florida",142,"25"
"Census Tract 408.03"," Osceola County"," Florida",1754,"139"
"Census Tract 432.01"," Osceola County"," Florida",45,"<5"
"Census Tract 432.02"," Osceola County"," Florida",121,"<5"
"Census Tract 432.03"," Osceola County"," Florida",795,"47"
