"Census","County","State","TotalPop4_18yrs","TotalExempt4_18yrs"
"Census Tract 8.09"," Alachua County"," Florida",41,"7"
"Census Tract 15.14"," Alachua County"," Florida",40,"<5"
"Census Tract 15.20"," Alachua County"," Florida",193,"12"
"Census Tract 19.07"," Alachua County"," Florida",420,"18"
"Census Tract 19.08"," Alachua County"," Florida",801,"35"
"Census Tract 22.20"," Alachua County"," Florida",409,"13"
"Census Tract 1108"," Alachua County"," Florida",148,"17"
"Census Tract 22.17"," Alachua County"," Florida",1170,"47"
"Census Tract 8.06"," Alachua County"," Florida",112,"8"
"Census Tract 8.08"," Alachua County"," Florida",321,"32"
"Census Tract 15.15"," Alachua County"," Florida",423,"22"
"Census Tract 15.16"," Alachua County"," Florida",117,"9"
"Census Tract 16.03"," Alachua County"," Florida",95,"12"
"Census Tract 15.17"," Alachua County"," Florida",277,"17"
"Census Tract 15.19"," Alachua County"," Florida",118,"9"
"Census Tract 15.21"," Alachua County"," Florida",294,"27"
"Census Tract 16.04"," Alachua County"," Florida",546,"47"
"Census Tract 18.11"," Alachua County"," Florida",922,"34"
"Census Tract 18.13"," Alachua County"," Florida",474,"25"
"Census Tract 18.14"," Alachua County"," Florida",418,"17"
"Census Tract 21.02"," Alachua County"," Florida",143,"7"
"Census Tract 22.18"," Alachua County"," Florida",483,"27"
"Census Tract 22.19"," Alachua County"," Florida",908,"52"
"Census Tract 6"," Alachua County"," Florida",1231,"26"
"Census Tract 7"," Alachua County"," Florida",1334,"49"
"Census Tract 14"," Alachua County"," Florida",607,"20"
"Census Tract 19.02"," Alachua County"," Florida",776,"20"
"Census Tract 22.04"," Alachua County"," Florida",2114,"119"
"Census Tract 22.05"," Alachua County"," Florida",1902,"75"
"Census Tract 2"," Alachua County"," Florida",522,"18"
"Census Tract 4"," Alachua County"," Florida",1378,"44"
"Census Tract 5"," Alachua County"," Florida",491,"77"
"Census Tract 10"," Alachua County"," Florida",383,"45"
"Census Tract 11"," Alachua County"," Florida",891,"39"
"Census Tract 12.03"," Alachua County"," Florida",544,"50"
"Census Tract 17.02"," Alachua County"," Florida",693,"61"
"Census Tract 12.02"," Alachua County"," Florida",1130,"68"
"Census Tract 22.08"," Alachua County"," Florida",613,"24"
"Census Tract 17.01"," Alachua County"," Florida",981,"60"
"Census Tract 20"," Alachua County"," Florida",926,"45"
"Census Tract 22.10"," Alachua County"," Florida",880,"41"
"Census Tract 18.01"," Alachua County"," Florida",1500,"150"
"Census Tract 18.06"," Alachua County"," Florida",1692,"154"
"Census Tract 18.03"," Alachua County"," Florida",1118,"64"
"Census Tract 22.09"," Alachua County"," Florida",1533,"86"
"Census Tract 21.01"," Alachua County"," Florida",240,"14"
"Census Tract 22.01"," Alachua County"," Florida",959,"39"
"Census Tract 18.02"," Alachua County"," Florida",601,"32"
"Census Tract 18.05"," Alachua County"," Florida",339,"17"
"Census Tract 22.02"," Alachua County"," Florida",1021,"64"
"Census Tract 12.01"," Alachua County"," Florida",498,"23"
"Census Tract 22.07"," Alachua County"," Florida",775,"33"
"Census Tract 9.02"," Alachua County"," Florida",1545,"<5"
"Census Tract 9.01"," Alachua County"," Florida",518,"0"
"Census Tract 3.01"," Alachua County"," Florida",329,"22"
"Census Tract 3.02"," Alachua County"," Florida",439,"26"
