"Census","County","State","TotalPop4_18yrs","TotalExempt4_18yrs"
"Census Tract 602.12"," Flagler County"," Florida",1137,82
"Census Tract 602.14"," Flagler County"," Florida",1647,121
"Census Tract 602.08"," Flagler County"," Florida",1263,207
"Census Tract 602.05"," Flagler County"," Florida",1374,129
"Census Tract 602.06"," Flagler County"," Florida",838,65
"Census Tract 601.04"," Flagler County"," Florida",611,66
"Census Tract 601.06"," Flagler County"," Florida",253,30
"Census Tract 603.02"," Flagler County"," Florida",307,27
"Census Tract 602.09"," Flagler County"," Florida",1229,170
"Census Tract 602.07"," Flagler County"," Florida",889,93
"Census Tract 601.03"," Flagler County"," Florida",229,33
"Census Tract 603.01"," Flagler County"," Florida",434,78
"Census Tract 603.03"," Flagler County"," Florida",134,12
"Census Tract 603.04"," Flagler County"," Florida",238,39
"Census Tract 602.13"," Flagler County"," Florida",1253,125
"Census Tract 602.11"," Flagler County"," Florida",928,100
"Census Tract 602.04"," Flagler County"," Florida",1989,138
"Census Tract 601.05"," Flagler County"," Florida",373,31
"Census Tract 601.07"," Flagler County"," Florida",558,62
"Census Tract 602.10"," Flagler County"," Florida",591,44
