"Census","County","State","TotalPop4_18yrs","TotalExempt4_18yrs"
"Census Tract 313"," Clay County"," Florida",1040,"75"
"Census Tract 314"," Clay County"," Florida",1053,"50"
"Census Tract 315"," Clay County"," Florida",625,"22"
"Census Tract 311.01"," Clay County"," Florida",731,"24"
"Census Tract 303.01"," Clay County"," Florida",1480,"69"
"Census Tract 306"," Clay County"," Florida",660,"40"
"Census Tract 308.02"," Clay County"," Florida",1293,"48"
"Census Tract 304"," Clay County"," Florida",487,"18"
"Census Tract 305"," Clay County"," Florida",493,"30"
"Census Tract 309.02"," Clay County"," Florida",2501,"108"
"Census Tract 308.01"," Clay County"," Florida",953,"74"
"Census Tract 312"," Clay County"," Florida",3485,"192"
"Census Tract 301.02"," Clay County"," Florida",1934,"75"
"Census Tract 301.04"," Clay County"," Florida",907,"38"
"Census Tract 302.02"," Clay County"," Florida",2424,"100"
"Census Tract 302.01"," Clay County"," Florida",2916,"285"
"Census Tract 311.05"," Clay County"," Florida",502,"13"
"Census Tract 311.07"," Clay County"," Florida",30,"<5"
"Census Tract 309.04"," Clay County"," Florida",1569,"69"
"Census Tract 302.03"," Clay County"," Florida",4743,"241"
"Census Tract 303.04"," Clay County"," Florida",856,"45"
"Census Tract 307.02"," Clay County"," Florida",3501,"145"
"Census Tract 307.03"," Clay County"," Florida",3183,"166"
"Census Tract 311.08"," Clay County"," Florida",248,"7"
"Census Tract 311.06"," Clay County"," Florida",1561,"63"
"Census Tract 301.03"," Clay County"," Florida",1185,"29"
"Census Tract 307.01"," Clay County"," Florida",1413,"69"
"Census Tract 311.04"," Clay County"," Florida",758,"27"
"Census Tract 303.03"," Clay County"," Florida",477,"20"
"Census Tract 309.03"," Clay County"," Florida",752,"45"
