"Census","County","State","TotalPop4_18yrs","TotalExempt4_18yrs"
"Census Tract 301"," Charlotte County"," Florida",875,80
"Census Tract 302"," Charlotte County"," Florida",1075,147
"Census Tract 203.02"," Charlotte County"," Florida",725,24
"Census Tract 202.02"," Charlotte County"," Florida",1074,76
"Census Tract 204"," Charlotte County"," Florida",1010,109
"Census Tract 203.01"," Charlotte County"," Florida",720,58
"Census Tract 202.01"," Charlotte County"," Florida",1260,62
"Census Tract 207"," Charlotte County"," Florida",525,20
"Census Tract 208"," Charlotte County"," Florida",697,49
"Census Tract 209"," Charlotte County"," Florida",887,59
"Census Tract 101"," Charlotte County"," Florida",497,65
"Census Tract 102"," Charlotte County"," Florida",550,40
"Census Tract 203.03"," Charlotte County"," Florida",800,42
"Census Tract 105.02"," Charlotte County"," Florida",775,74
"Census Tract 305.01"," Charlotte County"," Florida",421,38
"Census Tract 104.04"," Charlotte County"," Florida",162,8
"Census Tract 210.02"," Charlotte County"," Florida",223,12
"Census Tract 201.04"," Charlotte County"," Florida",81,14
"Census Tract 205.01"," Charlotte County"," Florida",548,31
"Census Tract 104.01"," Charlotte County"," Florida",161,15
"Census Tract 104.02"," Charlotte County"," Florida",108,6
"Census Tract 103.02"," Charlotte County"," Florida",612,41
"Census Tract 103.01"," Charlotte County"," Florida",265,17
"Census Tract 210.03"," Charlotte County"," Florida",290,20
"Census Tract 304.02"," Charlotte County"," Florida",152,7
"Census Tract 305.02"," Charlotte County"," Florida",437,26
"Census Tract 305.03"," Charlotte County"," Florida",630,48
"Census Tract 206.01"," Charlotte County"," Florida",359,18
"Census Tract 205.02"," Charlotte County"," Florida",166,8
"Census Tract 206.02"," Charlotte County"," Florida",436,21
"Census Tract 303.02"," Charlotte County"," Florida",184,10
"Census Tract 304.01"," Charlotte County"," Florida",141,18
"Census Tract 303.01"," Charlotte County"," Florida",185,14
"Census Tract 9900"," Charlotte County"," Florida",0,0
"Census Tract 105.01"," Charlotte County"," Florida",539,32
"Census Tract 104.03"," Charlotte County"," Florida",114,5
"Census Tract 201.01"," Charlotte County"," Florida",1093,79
"Census Tract 201.03"," Charlotte County"," Florida",974,65
"Census Tract 210.01"," Charlotte County"," Florida",200,21
