"Census","County","State","TotalPop4_18yrs","TotalExempt4_18yrs"
"Census Tract 3822"," St. Lucie County"," Florida",743,61
"Census Tract 3809.01"," St. Lucie County"," Florida",423,19
"Census Tract 3817.02"," St. Lucie County"," Florida",38,13
"Census Tract 3808"," St. Lucie County"," Florida",356,13
"Census Tract 3801"," St. Lucie County"," Florida",107,7
"Census Tract 3805"," St. Lucie County"," Florida",1368,50
"Census Tract 3807"," St. Lucie County"," Florida",1655,67
"Census Tract 3806"," St. Lucie County"," Florida",983,19
"Census Tract 3811.01"," St. Lucie County"," Florida",1304,78
"Census Tract 3814.01"," St. Lucie County"," Florida",674,30
"Census Tract 3811.02"," St. Lucie County"," Florida",516,28
"Census Tract 3803"," St. Lucie County"," Florida",1535,26
"Census Tract 3802"," St. Lucie County"," Florida",699,16
"Census Tract 3809.02"," St. Lucie County"," Florida",1166,30
"Census Tract 3814.02"," St. Lucie County"," Florida",1424,66
"Census Tract 3804"," St. Lucie County"," Florida",1456,28
"Census Tract 3815.02"," St. Lucie County"," Florida",2072,132
"Census Tract 3816.03"," St. Lucie County"," Florida",379,28
"Census Tract 3820.03"," St. Lucie County"," Florida",1978,96
"Census Tract 3816.02"," St. Lucie County"," Florida",321,19
"Census Tract 3815.03"," St. Lucie County"," Florida",2107,108
"Census Tract 3820.02"," St. Lucie County"," Florida",1467,74
"Census Tract 3818.02"," St. Lucie County"," Florida",789,64
"Census Tract 3819"," St. Lucie County"," Florida",768,59
"Census Tract 3816.01"," St. Lucie County"," Florida",878,64
"Census Tract 3817.01"," St. Lucie County"," Florida",42,6
"Census Tract 3820.06"," St. Lucie County"," Florida",1369,96
"Census Tract 3810"," St. Lucie County"," Florida",231,15
"Census Tract 3812.04"," St. Lucie County"," Florida",133,16
"Census Tract 3813"," St. Lucie County"," Florida",229,20
"Census Tract 3821.09"," St. Lucie County"," Florida",1353,117
"Census Tract 3821.08"," St. Lucie County"," Florida",3340,229
"Census Tract 3821.10"," St. Lucie County"," Florida",1606,87
"Census Tract 3820.08"," St. Lucie County"," Florida",1596,67
"Census Tract 3820.10"," St. Lucie County"," Florida",125,7
"Census Tract 3818.04"," St. Lucie County"," Florida",1186,68
"Census Tract 3821.11"," St. Lucie County"," Florida",3414,230
"Census Tract 3821.13"," St. Lucie County"," Florida",2862,155
"Census Tract 3821.12"," St. Lucie County"," Florida",1656,136
"Census Tract 3821.06"," St. Lucie County"," Florida",5497,331
"Census Tract 3820.07"," St. Lucie County"," Florida",945,56
"Census Tract 3820.09"," St. Lucie County"," Florida",778,44
"Census Tract 3818.03"," St. Lucie County"," Florida",900,53
"Census Tract 9800"," St. Lucie County"," Florida",0,0
