"Census","County","State","TotalPop4_18yrs","TotalExempt4_18yrs"
"Census Tract 205"," St. Johns County"," Florida",470,60
"Census Tract 213.01"," St. Johns County"," Florida",1022,86
"Census Tract 213.02"," St. Johns County"," Florida",836,89
"Census Tract 204"," St. Johns County"," Florida",444,6
"Census Tract 9901"," St. Johns County"," Florida",0,0
"Census Tract 210.02"," St. Johns County"," Florida",737,54
"Census Tract 202"," St. Johns County"," Florida",220,31
"Census Tract 203"," St. Johns County"," Florida",621,47
"Census Tract 214.06"," St. Johns County"," Florida",502,69
"Census Tract 214.07"," St. Johns County"," Florida",165,20
"Census Tract 214.05"," St. Johns County"," Florida",656,86
"Census Tract 214.03"," St. Johns County"," Florida",119,9
"Census Tract 209.01"," St. Johns County"," Florida",1417,246
"Census Tract 206.02"," St. Johns County"," Florida",2424,559
"Census Tract 206.01"," St. Johns County"," Florida",631,69
"Census Tract 210.04"," St. Johns County"," Florida",528,53
"Census Tract 209.02"," St. Johns County"," Florida",6398,646
"Census Tract 208.07"," St. Johns County"," Florida",371,68
"Census Tract 208.06"," St. Johns County"," Florida",1217,154
"Census Tract 207.08"," St. Johns County"," Florida",696,175
"Census Tract 211.02"," St. Johns County"," Florida",709,58
"Census Tract 210.03"," St. Johns County"," Florida",1057,36
"Census Tract 207.05"," St. Johns County"," Florida",973,68
"Census Tract 207.07"," St. Johns County"," Florida",759,61
"Census Tract 207.10"," St. Johns County"," Florida",553,22
"Census Tract 207.11"," St. Johns County"," Florida",630,49
"Census Tract 207.04"," St. Johns County"," Florida",562,48
"Census Tract 208.04"," St. Johns County"," Florida",749,55
"Census Tract 208.05"," St. Johns County"," Florida",3858,319
"Census Tract 208.03"," St. Johns County"," Florida",841,49
"Census Tract 208.01"," St. Johns County"," Florida",2141,137
"Census Tract 211.01"," St. Johns County"," Florida",1285,57
"Census Tract 212.06"," St. Johns County"," Florida",836,76
"Census Tract 212.05"," St. Johns County"," Florida",92,8
"Census Tract 214.04"," St. Johns County"," Florida",370,46
"Census Tract 207.06"," St. Johns County"," Florida",1015,42
"Census Tract 211.03"," St. Johns County"," Florida",332,21
"Census Tract 208.02"," St. Johns County"," Florida",1059,60
"Census Tract 212.04"," St. Johns County"," Florida",121,15
"Census Tract 212.03"," St. Johns County"," Florida",1113,112
