"Census","County","State","TotalPop4_18yrs","TotalExempt4_18yrs"
"Census Tract 9109"," Sumter County"," Florida",1,"0"
"Census Tract 9105"," Sumter County"," Florida",861,"27"
"Census Tract 9110"," Sumter County"," Florida",55,"<5"
"Census Tract 9113.02"," Sumter County"," Florida",315,"<5"
"Census Tract 9104.02"," Sumter County"," Florida",338,"13"
"Census Tract 9117.02"," Sumter County"," Florida",129,"6"
"Census Tract 9108"," Sumter County"," Florida",6,"<5"
"Census Tract 9117.01"," Sumter County"," Florida",206,"23"
"Census Tract 9101"," Sumter County"," Florida",580,"33"
"Census Tract 9106.02"," Sumter County"," Florida",457,"35"
"Census Tract 9104.01"," Sumter County"," Florida",479,"8"
"Census Tract 9106.01"," Sumter County"," Florida",879,"53"
"Census Tract 9113.01"," Sumter County"," Florida",187,"6"
"Census Tract 9103"," Sumter County"," Florida",279,"14"
"Census Tract 9107"," Sumter County"," Florida",1175,"37"
"Census Tract 9115"," Sumter County"," Florida",386,"21"
"Census Tract 9114"," Sumter County"," Florida",507,"16"
"Census Tract 9112"," Sumter County"," Florida",389,"44"
"Census Tract 9800"," Sumter County"," Florida",4,"0"
