"geography","geography_name","time","grade","pct_dtap","pct_polio","pct_mmr","pct_hep_b","pct_varicella","pct_personal_exempt","pct_medical_exempt","pct_full_exempt","N_personal_exempt","N_medical_exempt","N_full_exempt"
"56033","Sheridan County","2018-09-01","6 years",81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56033","Sheridan County","2018-09-01","13-17 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56035","Sublette County","2018-09-01","19-35 months",NA,62,66,NA,79,NA,NA,NA,NA,NA,NA
"56035","Sublette County","2018-09-01","6 years",81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56035","Sublette County","2018-09-01","13-17 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56037","Sweetwater County","2018-09-01","19-35 months",NA,NA,NA,NA,NA,NA,NA,NA,NA,35,NA
"56037","Sweetwater County","2018-09-01","6 years",NA,NA,NA,NA,NA,NA,NA,NA,19,35,19
"56037","Sweetwater County","2018-09-01","13-17 years",NA,NA,NA,NA,NA,NA,NA,NA,19,35,19
"56039","Teton County","2018-09-01","19-35 months",NA,NA,NA,NA,NA,NA,NA,NA,NA,31,NA
"56039","Teton County","2018-09-01","6 years",NA,NA,NA,NA,NA,NA,NA,NA,19,31,19
"56039","Teton County","2018-09-01","13-17 years",NA,NA,NA,NA,NA,NA,NA,NA,19,31,19
"56041","Uinta County","2018-09-01","19-35 months",NA,NA,NA,NA,NA,NA,NA,NA,NA,37,NA
"56041","Uinta County","2018-09-01","6 years",NA,NA,NA,NA,NA,NA,NA,NA,24,37,24
"56041","Uinta County","2018-09-01","13-17 years",NA,NA,NA,NA,NA,NA,NA,NA,24,37,24
"56043","Washakie County","2018-09-01","19-35 months",NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA
"56043","Washakie County","2018-09-01","6 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA
"56043","Washakie County","2018-09-01","13-17 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA
"56045","Weston County","2018-09-01","19-35 months",NA,NA,NA,NA,NA,NA,NA,NA,9,0,9
"56045","Weston County","2018-09-01","6 years",NA,NA,NA,NA,NA,NA,NA,NA,5,0,5
"56045","Weston County","2018-09-01","13-17 years",NA,NA,NA,NA,NA,NA,NA,NA,5,0,5
