,,"Percent of Students with Conscientious Exemptions Filed by County and School Year -- Texas Annual Report of Immunization Status, Kindergarten through 12th Grade
(Percent of Students with a Conscientious Exemption to at Least One Vaccine)",,,,,,,,,,,,,,,,,
State,County,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,,,,,,,
,Collingsworth,2.31%,2.89%,1.16%,1.32%,1.99%,2.64%,3.46%,2.60%,3.24%,4.84%,2.77%,,,,,,,
,Colorado,0.30%,0.34%,0.39%,0.06%,0.35%,0.46%,0.76%,0.89%,0.94%,0.94%,1.40%,,,,,,,
,Comal,1.56%,1.40%,1.60%,1.77%,2.07%,2.40%,1.20%,2.61%,3.17%,3.81%,4.26%,,,,,,,
,Comanche,1.28%,1.03%,0.73%,1.01%,0.93%,0.60%,1.12%,1.46%,1.45%,1.36%,1.74%,,,,,,,
,Concho,0.00%,0.51%,0.00%,1.40%,0.66%,0.68%,0.00%,0.45%,0.46%,1.46%,0.26%,,,,,,,
,Cooke,0.68%,0.82%,0.87%,1.04%,1.02%,1.60%,1.84%,1.79%,2.03%,2.40%,2.87%,,,,,,,
,Coryell,1.21%,0.96%,0.74%,0.47%,1.01%,1.25%,1.60%,1.36%,1.75%,2.03%,2.36%,,,,,,,
,Cottle,NR**,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.32%,2.58%,,,,,,,
,Crane,0.35%,0.52%,0.44%,0.29%,0.37%,0.83%,0.55%,0.58%,0.09%,0.00%,NR**,,,,,,,
,Crockett,0.65%,1.25%,0.52%,0.54%,0.42%,0.41%,0.52%,0.82%,0.86%,0.90%,0.81%,,,,,,,
,Crosby,0.60%,1.07%,0.99%,0.72%,1.02%,0.95%,0.51%,0.52%,0.81%,1.08%,23.68%,,,,,,,
,Culberson,0.00%,NR**,0.00%,0.00%,0.51%,0.00%,0.29%,0.00%,0.00%,0.27%,0.51%,,,,,,,
,Dallam,0.75%,0.68%,1.41%,1.13%,1.66%,0.96%,1.34%,1.35%,1.21%,1.74%,1.86%,,,,,,,
,Dallas,0.45%,0.53%,0.60%,0.64%,0.74%,0.91%,1.26%,5.28%,1.28%,1.35%,1.44%,,,,,,,
,Dawson,0.26%,0.63%,0.47%,0.64%,0.54%,1.56%,2.32%,2.01%,2.30%,2.26%,2.52%,,,,,,,
,Deaf Smith,0.05%,0.07%,0.00%,0.13%,0.19%,0.22%,0.23%,0.10%,0.17%,0.15%,0.17%,,,,,,,
,Delta,0.81%,1.06%,1.61%,1.68%,1.17%,1.46%,1.08%,0.13%,1.51%,1.21%,1.70%,,,,,,,
,Denton,4.07%,2.07%,2.05%,2.92%,2.22%,2.89%,3.00%,2.94%,3.29%,3.69%,4.22%,,,,,,,
,DeWitt,0.36%,0.30%,0.48%,0.52%,0.53%,0.51%,0.53%,0.59%,0.96%,#N/A,1.56%,,,,,,,
,Dickens,0.26%,0.69%,0.52%,0.00%,0.00%,0.00%,0.00%,0.00%,0.34%,1.66%,2.14%,,,,,,,
,Dimmit,0.04%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.05%,0.05%,,,,,,,
,Donley,0.75%,1.36%,0.52%,0.53%,1.48%,0.93%,1.74%,1.88%,2.39%,2.73%,3.92%,,,,,,,
,Duval,0.05%,0.04%,0.04%,0.12%,0.08%,0.19%,0.19%,0.23%,0.30%,0.53%,0.49%,,,,,,,
,Eastland,1.74%,1.66%,1.51%,2.12%,2.09%,2.42%,2.72%,2.24%,2.29%,2.61%,1.21%,,,,,,,
