,,"Percent of Students with Conscientious Exemptions Filed by County and School Year -- Texas Annual Report of Immunization Status, Kindergarten
(Percent of Students with a Conscientious Exemption to at Least One Vaccine)",,,,,,,,,,,,,,,,,
State,County,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,,,,,,,
,Collingsworth,0.00%,1.96%,0.00%,5.66%,1.75%,0.00%,10.00%,4.35%,6.25%,9.68%,6.98%,,,,,,,
,Colorado,0.00%,0.49%,1.16%,0.00%,0.00%,1.79%,0.56%,1.06%,2.63%,1.90%,2.78%,,,,,,,
,Comal,2.71%,1.83%,2.44%,2.15%,3.85%,3.00%,4.69%,3.34%,4.89%,6.85%,7.28%,,,,,,,
,Comanche,2.78%,1.86%,0.58%,0.56%,2.29%,0.60%,2.30%,1.18%,3.95%,0.58%,2.01%,,,,,,,
,Concho,0.00%,0.00%,0.00%,0.00%,2.94%,0.00%,0.00%,2.50%,0.00%,3.57%,0.00%,,,,,,,
,Cooke,0.55%,1.53%,1.15%,3.09%,1.34%,3.32%,1.69%,2.92%,4.36%,3.83%,6.31%,,,,,,,
,Coryell,3.26%,4.23%,1.01%,1.39%,1.66%,2.72%,2.30%,2.85%,3.20%,3.15%,3.72%,,,,,,,
,Cottle,NR**,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,11.11%,,,,,,,
,Crane,0.00%,1.19%,0.00%,0.00%,0.00%,0.00%,1.23%,1.23%,1.90%,0.00%,NR**,,,,,,,
,Crockett,0.00%,1.47%,0.00%,0.00%,0.00%,1.79%,0.00%,3.77%,0.00%,0.00%,0.00%,,,,,,,
,Crosby,0.00%,1.20%,1.08%,1.14%,1.25%,2.86%,0.00%,0.00%,2.78%,1.61%,3.64%,,,,,,,
,Culberson,0.00%,NR**,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.70%,3.85%,,,,,,,
,Dallam,0.62%,0.00%,3.59%,1.89%,2.89%,1.75%,5.13%,1.14%,2.94%,3.83%,4.14%,,,,,,,
,Dallas,0.84%,0.90%,0.84%,1.16%,1.37%,1.84%,1.96%,1.73%,2.03%,2.64%,2.62%,,,,,,,
,Dawson,0.50%,1.35%,1.02%,1.57%,1.44%,5.38%,7.64%,3.39%,3.23%,7.80%,10.60%,,,,,,,
,Deaf Smith,0.27%,0.00%,0.00%,0.00%,0.34%,0.91%,0.00%,0.00%,0.00%,0.00%,0.65%,,,,,,,
,Delta,0.00%,0.00%,5.26%,1.79%,0.00%,1.85%,1.69%,1.43%,0.00%,0.00%,4.62%,,,,,,,
,Denton,9.22%,3.40%,3.50%,3.92%,4.72%,5.30%,4.65%,4.39%,5.96%,6.10%,6.91%,,,,,,,
,DeWitt,0.00%,0.83%,1.50%,1.97%,0.51%,0.50%,0.49%,2.19%,1.49%,2.13%,2.75%,,,,,,,
,Dickens,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,9.09%,4.76%,,,,,,,
,Dimmit,0.47%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
,Donley,0.00%,3.77%,0.00%,2.50%,2.50%,0.00%,0.00%,5.26%,8.51%,4.88%,2.27%,,,,,,,
