time	state	geography	geography_name	grade	N_dtap	N_polio	N_mmr	N_hep_b	N_varicella	N_personal_exempt	N_medical_exempt	N_full_exempt	pct_dtap	pct_polio	pct_mmr	pct_hep_b	pct_varicella	pct_personal_exempt	pct_medical_exempt	pct_full_exempt	N_enrolled
2023-09-01	South Carolina	45013	Beaufort	Overall	NA	NA	NA	NA	NA	621	NA	NA	NA	NA	NA	NA	NA	2.4099999999999997	NA	NA	25728
2019-09-01	South Carolina	45015	Berkeley	Overall	NA	NA	NA	NA	NA	419	NA	NA	NA	NA	NA	NA	NA	1.1300000000000001	NA	NA	37236
2020-09-01	South Carolina	45015	Berkeley	Overall	NA	NA	NA	NA	NA	500	NA	NA	NA	NA	NA	NA	NA	1.3	NA	NA	38391
2021-09-01	South Carolina	45015	Berkeley	Overall	NA	NA	NA	NA	NA	555	NA	NA	NA	NA	NA	NA	NA	1.45	NA	NA	38333
2022-09-01	South Carolina	45015	Berkeley	Overall	NA	NA	NA	NA	NA	648	NA	NA	NA	NA	NA	NA	NA	1.75	NA	NA	37072
2023-09-01	South Carolina	45015	Berkeley	Overall	NA	NA	NA	NA	NA	847	NA	NA	NA	NA	NA	NA	NA	2.09	NA	NA	40563
2019-09-01	South Carolina	45017	Calhoun	Overall	NA	NA	NA	NA	NA	23	NA	NA	NA	NA	NA	NA	NA	1.1800000000000002	NA	NA	1951
2020-09-01	South Carolina	45017	Calhoun	Overall	NA	NA	NA	NA	NA	24	NA	NA	NA	NA	NA	NA	NA	1.22	NA	NA	1972
2021-09-01	South Carolina	45017	Calhoun	Overall	NA	NA	NA	NA	NA	12	NA	NA	NA	NA	NA	NA	NA	0.63	NA	NA	1913
2022-09-01	South Carolina	45017	Calhoun	Overall	NA	NA	NA	NA	NA	18	NA	NA	NA	NA	NA	NA	NA	0.9500000000000001	NA	NA	1899
2023-09-01	South Carolina	45017	Calhoun	Overall	NA	NA	NA	NA	NA	16	NA	NA	NA	NA	NA	NA	NA	1.05	NA	NA	1524
