"school_name","school_type","address","city","zipcode","planning_region","ex_rel","ex_med","ex_tot"
"Staples High School","Public","70 North Ave.","Westport","06880","Western CT","2.5","0.6","3.0"
"Stepping Stones Preschool","Public","65 Easton Rd.","Westport","06880","Western CT","0.0","0.0","0.0"
"Alfred W. Hanmer School","Public","50 Francis St.","Wethersfield","06109","Capitol","0.0","1.1","1.1"
"Charles Wright School","Public","186 Nott St.","Wethersfield","06109","Capitol","0.4","0.0","0.4"
"Corpus Christi School","Non-public","581 Silas Deane Highway","Wethersfield","06109","Capitol","1.4","0.2","1.7"
"CREC Preschool at Progress Drive","Public","123 Progress Drive","Wethersfield","06109","Capitol","0.0","0.0","0.0"
"Discovery Academy","Non-public","176 Cumberland Avenue","Wethersfield","06109","Capitol","0.6","0.0","0.6"
"Emerson-Williams School","Public","461 Wells Rd.","Wethersfield","06109","Capitol","0.5","0.3","0.8"
"Highcrest School","Public","95 Highcrest Rd.","Wethersfield","06109","Capitol","0.7","0.5","1.2"
"Samuel B. Webb Elementary School","Public","51 Willow St.","Wethersfield","06109","Capitol","0.8","0.0","0.8"
"Silas Deane Middle School","Public","551 Silas Deane Hwy.","Wethersfield","06109","Capitol","0.7","0.0","0.7"
"Wethersfield High School","Public","411 Wolcott Hill Rd.","Wethersfield","06109","Capitol","1.2","0.1","1.2"
"Center School","Public","12 Old Farms Rd.","Willington","06279","Capitol","0.5","0.0","0.5"
"Hall Memorial School","Public","111 River Rd.","Willington","06279","Capitol","3.7","0.0","3.7"
"Apple Blossom School & Family Center","Non-public","426 Danbury Rd","Wilton","06897","Western CT","0.0","13.3","13.3"
"Belden Hill Montessori","Non-public","48 New Canaan Rd","Wilton","06897","Western CT","0.0","5.7","5.7"
"Cider Mill School","Public","240 School Rd.","Wilton","06897","Western CT","2.3","0.5","2.7"
"Connecticut Friends School","Non-public","317 New Canaan Road","Wilton","06897","Western CT","0.0","0.0","0.0"
"First Step","Non-public","240 Wolfpit Rd","Wilton","06897","Western CT","DS","DS","DS"
"Guidepost Montessori","Non-public","221 Danbury Rd","Wilton","06897","Western CT","0.0","0.0","0.0"
"Middlebrook School","Public","131 School Rd.","Wilton","06897","Western CT","3.0","1.1","4.1"
"Miller-Driscoll School","Public","217 Wolfpit Rd.","Wilton","06897","Western CT","0.0","0.9","0.9"
"Schoolhouse Academy Inc.","Non-public","225 Danbury Road","Wilton","06897","Western CT","DS","DS","DS"
"Seven Acres Montessori","Non-public","34 Whipple Road","Wilton","06897","Western CT","1.4","0.0","1.4"
"Westport Day School","Non-public","372 Danbury Road Suite 190","Wilton","06897","Western CT","DNC","DNC","DNC"
"Wilton High School","Public","395 Danbury Rd.","Wilton","06897","Western CT","3.0","0.3","3.3"
"EdAdvance Winsted","Non-public","201 Pratt St.","Winchester","06098","Northwest Hills","0.0","3.1","3.1"
"Explorations","Public","71 Spencer St.","Winchester","06098","Northwest Hills","1.2","1.2","2.5"
"Mary P. Hinsdale School","Public","15 Hinsdale Ave.","Winchester","06098","Northwest Hills","0.0","1.5","1.5"
"Northwestern Regional Middle and High School","Public","100 Battistoni Dr.","Winchester","06098","Northwest Hills","5.1","0.1","5.3"
"Pearson School","Public","2 Wetmore Ave.","Winchester","06098","Northwest Hills","DNC","DNC","DNC"
"The Gilbert School","Non-public","200 Williams Ave","Winchester","06098","Northwest Hills","1.5","0.0","1.5"
"Arts at the Capitol Theater Magnet School (ACT)","Non-public","896 Main Street","Windham","06226","Southeastern CT","4.0","1.6","5.6"
"Charles H. Barrows STEM Academy","Public","141 Tuckie Road","Windham","06256","Southeastern CT","1.4","0.0","1.4"
"Clinical Developmental, and Therapeutic Programs","Public","832 Main St","Windham","06226","Southeastern CT","1.7","0.0","1.7"
"CORE","Non-public","579 North Windham Road","Windham","06256","Southeastern CT","0.0","0.0","0.0"
"Natchaug School","Public","123 Jackson St.","Windham","06226","Southeastern CT","0.0","0.0","0.0"
"North Windham School","Public","112 Jordan Ln.","Windham","06256","Southeastern CT","0.0","0.0","0.0"
"W. B. Sweeney School","Public","60 Oak Hill Dr.","Windham","06226","Southeastern CT","0.0","0.0","0.0"
"Windham Early Childhood Center","Non-public","355 High Street, Unit C","Windham","06226","Southeastern CT","0.0","0.0","0.0"
"Windham High School","Public","355 High St.","Windham","06226","Southeastern CT","0.5","0.2","0.7"
"Windham Middle School","Public","123 Quarry St.","Windham","06226","Southeastern CT","0.5","0.0","0.5"
"Windham Technical High School","Public","210 Birch St.","Windham","06226","Southeastern CT","1.7","0.2","1.9"
"Academy of Aerospace and Engineering","Non-public","1101 Kennedy Road","Windsor","06095","Capitol","0.8","0.0","0.8"
"Clover Street School","Public","57 Clover St.","Windsor","06095","Capitol","0.0","0.0","0.0"
"John F. Kennedy School","Public","530 Park Ave.","Windsor","06095","Capitol","2.5","0.2","2.7"
"Loomis Chaffee School","Non-public","4 Batchelder Road","Windsor","06095","Capitol","0.0","0.0","0.0"
"Madina Academy","Non-public","519 Palisado Ave","Windsor","06095","Capitol","0.0","0.0","0.0"
"Oliver Ellsworth School","Public","730 Kennedy Ave.","Windsor","06095","Capitol","0.0","0.0","0.0"
"Poquonock Elementary School","Public","1760 Poquonock Ave.","Windsor","06095","Capitol","0.0","0.6","0.6"
"Power & Prayer Christian School","Non-public","209 Kennedy Rd","Windsor","06095","Capitol","0.0","0.0","0.0"
"River Street School","Non-public","601 River St.","Windsor","06095","Capitol","0.7","0.0","0.7"
"Sage Park Middle School","Public","25 Sage Park Rd.","Windsor","06095","Capitol","1.5","0.0","1.5"
"St. Gabriel","Non-public","77 Bloomfield Avenue","Windsor","06095","Capitol","DNC","DNC","DNC"
"Trinity Christian School","Non-public","180 Park Avenue","Windsor","06095","Capitol","DNC","DNC","DNC"
"Windsor High School","Public","50 Sage Park Rd.","Windsor","06095","Capitol","0.5","0.0","0.5"
"Windsor Montessori School","Non-public","114 Palisado Avenue","Windsor","06095","Capitol","DNC","DNC","DNC"
"North Street School","Public","325 North St.","Windsor Locks","06096","Capitol","0.0","0.0","0.0"
"South Elementary School","Public","87 South St.","Windsor Locks","06096","Capitol","DNC","DNC","DNC"
"Windsor Locks High School","Public","58 South Elm St.","Windsor Locks","06096","Capitol","DNC","DNC","DNC"
"Windsor Locks Middle School","Public","7 Center St.","Windsor Locks","06096","Capitol","2.4","0.0","2.4"
"Alcott School","Public","1490 Woodtick Rd.","Wolcott","06716","Naugatuck Valley","1.5","0.6","2.2"
"Frisbie School","Public","24 Todd Rd.","Wolcott","06716","Naugatuck Valley","0.0","0.0","0.0"
"Tyrrell Middle School","Public","500 Todd Rd.","Wolcott","06716","Naugatuck Valley","0.4","0.0","0.4"
"Wakelee School","Public","12 Hempel Dr.","Wolcott","06716","Naugatuck Valley","1.5","0.0","1.5"
"Wolcott High School","Public","457 Bound Line Rd.","Wolcott","06716","Naugatuck Valley","0.7","0.0","0.7"
"Amity Regional High School","Public","25 Newton Rd.","Woodbridge","06525","South Central","DNC","DNC","DNC"
"Beecher Road School","Public","40 Beecher Rd.","Woodbridge","06525","South Central","1.0","0.3","1.4"
"Ezra Academy","Non-public","75 Rimmon Road","Woodbridge","06525","South Central","DNC","DNC","DNC"
"Mitchell Elementary School","Public","14 School St.","Woodbury","06798","Naugatuck Valley","0.3","0.0","0.3"
"Nonnewaug High School","Public","5 Minortown Road","Woodbury","06798","Naugatuck Valley","5.4","0.2","5.6"
"Woodbury Middle School","Public","67 Washington Ave.","Woodbury","06798","Naugatuck Valley","5.4","0.0","5.4"
"Woodstock Academy","Non-public","57 Academy Road","Woodstock","06281","Northeast CT","2.9","0.3","3.2"
"Woodstock Elementary School","Public","24 Frog Pond Rd.","Woodstock","06281","Northeast CT","1.9","0.3","2.2"
"Woodstock Middle School","Public","147 B-Route 169","Woodstock","06281","Northeast CT","11.9","0.0","11.9"
