time	geography	geography_name	grade	N_dtap	N_polio	N_mmr	N_hep_b	N_varicella	N_personal_exempt	N_medical_exempt	N_full_exempt	pct_dtap	pct_polio	pct_mmr	pct_hep_b	pct_varicella	pct_personal_exempt	pct_medical_exempt	pct_full_exempt	enrollment
2019-09-01	51033	Caroline	Kindergarten	NA	NA	NA	NA	NA	7	0	7	NA	NA	NA	NA	NA	2.02	0	2.02	347
2019-09-01	51035	Carroll	7th grade	NA	NA	NA	NA	NA	2	2	4	NA	NA	NA	NA	NA	0.72	0.72	1.43	279
2019-09-01	51035	Carroll	Kindergarten	NA	NA	NA	NA	NA	8	2	10	NA	NA	NA	NA	NA	2.94	0.74	3.68	272
2019-09-01	51036	Charles City	7th grade	NA	NA	NA	NA	NA	0	1	1	NA	NA	NA	NA	NA	0	2.94	2.94	34
2019-09-01	51036	Charles City	Kindergarten	NA	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	NA	0	0	0	57
2019-09-01	51037	Charlotte	7th grade	NA	NA	NA	NA	NA	1	0	1	NA	NA	NA	NA	NA	0.88	0	0.88	114
2019-09-01	51037	Charlotte	Kindergarten	NA	NA	NA	NA	NA	1	0	1	NA	NA	NA	NA	NA	0.83	0	0.83	121
2019-09-01	51540	Charlottesville City	7th grade	NA	NA	NA	NA	NA	25	0	25	NA	NA	NA	NA	NA	4.56	0	4.56	548
2019-09-01	51540	Charlottesville City	Kindergarten	NA	NA	NA	NA	NA	2	3	5	NA	NA	NA	NA	NA	0.53	0.8	1.33	377
2019-09-01	51550	Chesapeake City	7th grade	NA	NA	NA	NA	NA	36	7	43	NA	NA	NA	NA	NA	1.05	0.2	1.25	3442
2019-09-01	51550	Chesapeake City	Kindergarten	NA	NA	NA	NA	NA	48	8	56	NA	NA	NA	NA	NA	1.73	0.29	2.02	2774
2019-09-01	51041	Chesterfield	7th grade	NA	NA	NA	NA	NA	74	53	127	NA	NA	NA	NA	NA	1.44	1.03	2.48	5124
2019-09-01	51041	Chesterfield	Kindergarten	NA	NA	NA	NA	NA	84	25	109	NA	NA	NA	NA	NA	1.83	0.54	2.37	4595
2019-09-01	51043	Clarke	7th grade	NA	NA	NA	NA	NA	3	0	3	NA	NA	NA	NA	NA	1.71	0	1.71	175
2019-09-01	51043	Clarke	Kindergarten	NA	NA	NA	NA	NA	2	0	2	NA	NA	NA	NA	NA	1.57	0	1.57	127
2019-09-01	51570	Colonial Heights City	7th grade	NA	NA	NA	NA	NA	2	0	2	NA	NA	NA	NA	NA	0.94	0	0.94	212
2019-09-01	51570	Colonial Heights City	Kindergarten	NA	NA	NA	NA	NA	5	1	6	NA	NA	NA	NA	NA	2.12	0.42	2.54	236
2019-09-01	51580	Covington City	7th grade	NA	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	NA	0	0	0	65
2019-09-01	51580	Covington City	Kindergarten	NA	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	NA	0	0	0	78
2019-09-01	51045	Craig	7th grade	NA	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	NA	0	0	0	55
2019-09-01	51045	Craig	Kindergarten	NA	NA	NA	NA	NA	1	0	1	NA	NA	NA	NA	NA	3.12	0	3.12	32
2019-09-01	51047	Culpeper	7th grade	NA	NA	NA	NA	NA	9	1	10	NA	NA	NA	NA	NA	1.25	0.14	1.39	719
2019-09-01	51047	Culpeper	Kindergarten	NA	NA	NA	NA	NA	13	2	15	NA	NA	NA	NA	NA	1.87	0.29	2.16	695
2019-09-01	51049	Cumberland	7th grade	NA	NA	NA	NA	NA	1	0	1	NA	NA	NA	NA	NA	0.99	0	0.99	101
2019-09-01	51049	Cumberland	Kindergarten	NA	NA	NA	NA	NA	2	0	2	NA	NA	NA	NA	NA	2.2	0	2.2	91
2019-09-01	51590	Danville City	7th grade	NA	NA	NA	NA	NA	2	2	4	NA	NA	NA	NA	NA	0.46	0.46	0.92	436
2019-09-01	51590	Danville City	Kindergarten	NA	NA	NA	NA	NA	4	0	4	NA	NA	NA	NA	NA	0.79	0	0.79	504
2019-09-01	51051	Dickenson	7th grade	NA	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	NA	0	0	0	148
2019-09-01	51053	Dinwiddie	Kindergarten	NA	NA	NA	NA	NA	5	2	7	NA	NA	NA	NA	NA	1.47	0.59	2.06	340
2019-09-01	51057	Essex	7th grade	NA	NA	NA	NA	NA	1	0	1	NA	NA	NA	NA	NA	0.87	0	0.87	115
2019-09-01	51057	Essex	Kindergarten	NA	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	NA	0	0	0	115
2019-09-01	51059	Fairfax	7th grade	NA	NA	NA	NA	NA	154	331	485	NA	NA	NA	NA	NA	0.99	2.12	3.1	15628
2019-09-01	51059	Fairfax	Kindergarten	NA	NA	NA	NA	NA	156	79	235	NA	NA	NA	NA	NA	1.07	0.54	1.61	14561
2019-09-01	51610	Falls Church City	7th grade	NA	NA	NA	NA	NA	2	10	12	NA	NA	NA	NA	NA	0.71	3.56	4.27	281
2019-09-01	51610	Falls Church City	Kindergarten	NA	NA	NA	NA	NA	2	1	3	NA	NA	NA	NA	NA	0.96	0.48	1.44	209
2019-09-01	51061	Fauquier	7th grade	NA	NA	NA	NA	NA	20	2	22	NA	NA	NA	NA	NA	2.4	0.24	2.64	834
2019-09-01	51061	Fauquier	Kindergarten	NA	NA	NA	NA	NA	19	3	22	NA	NA	NA	NA	NA	2.27	0.36	2.63	836
2019-09-01	51063	Floyd	7th grade	NA	NA	NA	NA	NA	7	0	7	NA	NA	NA	NA	NA	4.35	0	4.35	161
2019-09-01	51063	Floyd	Kindergarten	NA	NA	NA	NA	NA	7	1	8	NA	NA	NA	NA	NA	5.43	0.78	6.2	129
2019-09-01	51065	Fluvanna	7th grade	NA	NA	NA	NA	NA	4	0	4	NA	NA	NA	NA	NA	1.35	0	1.35	296
2019-09-01	51067	Franklin	7th grade	NA	NA	NA	NA	NA	9	1	10	NA	NA	NA	NA	NA	1.72	0.19	1.91	523
